#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 5323.057
2022 02 20 05 45 00 1 5323.033
2022 02 20 05 30 00 1 5323.005
2022 02 20 05 15 00 1 5322.972
2022 02 20 05 00 00 1 5322.939
2022 02 20 04 45 00 1 5322.908
2022 02 20 04 30 00 1 5322.874
2022 02 20 04 15 00 1 5322.843
2022 02 20 04 00 00 1 5322.811
2022 02 20 03 45 00 1 5322.787
2022 02 20 03 30 00 1 5322.763
2022 02 20 03 15 00 1 5322.744
2022 02 20 03 00 00 1 5322.726
2022 02 20 02 45 00 1 5322.717
2022 02 20 02 30 00 1 5322.707
2022 02 20 02 15 00 1 5322.701
2022 02 20 02 00 00 1 5322.705
2022 02 20 01 45 00 1 5322.708
2022 02 20 01 30 00 1 5322.718
2022 02 20 01 15 00 1 5322.731
2022 02 20 01 00 00 1 5322.742
2022 02 20 00 45 00 1 5322.758
2022 02 20 00 30 00 1 5322.776
2022 02 20 00 15 00 1 5322.799
2022 02 20 00 00 00 1 5322.824
2022 02 19 23 45 00 1 5322.853
2022 02 19 23 30 00 1 5322.883
2022 02 19 23 15 00 1 5322.913
2022 02 19 23 00 00 1 5322.944
2022 02 19 22 45 00 1 5322.977
2022 02 19 22 30 00 1 5323.009
2022 02 19 22 15 00 1 5323.041
2022 02 19 22 00 00 1 5323.066
2022 02 19 21 45 00 1 5323.089
2022 02 19 21 30 00 1 5323.108
2022 02 19 21 15 00 1 5323.123
2022 02 19 21 00 00 1 5323.133
2022 02 19 20 45 00 1 5323.143
2022 02 19 20 30 00 1 5323.148
2022 02 19 20 15 00 1 5323.148
2022 02 19 20 00 00 1 5323.144
2022 02 19 19 45 00 1 5323.133
2022 02 19 19 30 00 1 5323.118
2022 02 19 19 15 00 1 5323.100
2022 02 19 19 00 00 1 5323.079
2022 02 19 18 45 00 1 5323.051
2022 02 19 18 30 00 1 5323.017
2022 02 19 18 15 00 1 5322.979
2022 02 19 18 00 00 1 5322.940
2022 02 19 17 45 00 1 5322.896
2022 02 19 17 30 00 1 5322.850
2022 02 19 17 15 00 1 5322.803
2022 02 19 17 00 00 1 5322.754
2022 02 19 16 45 00 1 5322.708
2022 02 19 16 30 00 1 5322.659
2022 02 19 16 15 00 1 5322.614
2022 02 19 15 00 00 1 5322.430
2022 02 19 14 45 00 1 5322.406
2022 02 19 14 30 00 1 5322.389
2022 02 19 14 15 00 1 5322.378
2022 02 19 14 00 00 1 5322.368
2022 02 19 13 45 00 1 5322.366
2022 02 19 13 30 00 1 5322.371
2022 02 19 13 15 00 1 5322.381
2022 02 19 13 00 00 1 5322.395
2022 02 19 12 45 00 1 5322.415
2022 02 19 12 30 00 1 5322.438
2022 02 19 12 15 00 1 5322.465
2022 02 19 06 00 00 1 5323.162
2022 02 19 05 45 00 1 5323.146
2022 02 19 05 30 00 1 5323.127
2022 02 19 05 15 00 1 5323.104
2022 02 19 05 00 00 1 5323.078
2022 02 19 04 45 00 1 5323.053
2022 02 19 04 30 00 1 5323.025
2022 02 19 04 15 00 1 5322.998
2022 02 19 04 00 00 1 5322.970
2022 02 19 03 45 00 1 5322.946
2022 02 19 03 30 00 1 5322.921
2022 02 19 03 15 00 1 5322.899
2022 02 19 03 00 00 1 5322.882
2022 02 19 02 45 00 1 5322.866
2022 02 19 02 30 00 1 5322.853
2022 02 19 02 15 00 1 5322.843
2022 02 19 02 00 00 1 5322.837
2022 02 19 01 45 00 1 5322.833
2022 02 19 01 30 00 1 5322.832
2022 02 19 01 15 00 1 5322.837
2022 02 19 01 00 00 1 5322.840
2022 02 19 00 45 00 1 5322.847
2022 02 19 00 30 00 1 5322.857
2022 02 19 00 15 00 1 5322.867
2022 02 19 00 00 00 1 5322.884
2022 02 18 23 45 00 1 5322.902
2022 02 18 23 30 00 1 5322.921
2022 02 18 23 15 00 1 5322.946
2022 02 18 23 00 00 1 5322.975
2022 02 18 22 45 00 1 5323.001
2022 02 18 22 30 00 1 5323.028
2022 02 18 22 15 00 1 5323.054
2022 02 18 22 00 00 1 5323.080
2022 02 18 21 45 00 1 5323.101
2022 02 18 21 30 00 1 5323.122
2022 02 18 21 15 00 1 5323.141
2022 02 18 21 00 00 1 5323.153
2022 02 18 20 45 00 1 5323.162
2022 02 18 20 30 00 1 5323.170
2022 02 18 20 15 00 1 5323.171
2022 02 18 20 00 00 1 5323.169
2022 02 18 19 45 00 1 5323.161
2022 02 18 19 30 00 1 5323.148
2022 02 18 19 15 00 1 5323.135
2022 02 18 18 00 00 1 5322.986
2022 02 18 17 45 00 1 5322.946
2022 02 18 17 30 00 1 5322.901
2022 02 18 17 15 00 1 5322.854
2022 02 18 17 00 00 1 5322.804
2022 02 18 16 45 00 1 5322.756
2022 02 18 16 30 00 1 5322.704
2022 02 18 16 15 00 1 5322.652
2022 02 18 16 00 00 1 5322.600
2022 02 18 15 45 00 1 5322.558
2022 02 18 15 30 00 1 5322.509
2022 02 18 15 15 00 1 5322.467
2022 02 18 15 00 00 1 5322.427
2022 02 18 14 45 00 1 5322.392
