#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 5947.032
2022 02 20 05 45 00 1 5947.041
2022 02 20 05 30 00 1 5947.062
2022 02 20 05 15 00 1 5947.097
2022 02 20 05 00 00 1 5947.140
2022 02 20 04 45 00 1 5947.192
2022 02 20 04 30 00 1 5947.254
2022 02 20 04 15 00 1 5947.319
2022 02 20 04 00 00 1 5947.397
2022 02 20 03 45 00 1 5947.479
2022 02 20 03 30 00 1 5947.566
2022 02 20 03 15 00 1 5947.653
2022 02 20 03 00 00 1 5947.742
2022 02 20 02 45 00 1 5947.832
2022 02 20 02 30 00 1 5947.917
2022 02 20 02 15 00 1 5948.002
2022 02 20 02 00 00 1 5948.076
2022 02 20 01 45 00 1 5948.149
2022 02 20 01 30 00 1 5948.211
2022 02 20 01 15 00 1 5948.269
2022 02 20 01 00 00 1 5948.315
2022 02 20 00 45 00 1 5948.350
2022 02 20 00 30 00 1 5948.376
2022 02 20 00 15 00 1 5948.387
2022 02 20 00 00 00 1 5948.387
2022 02 19 23 45 00 1 5948.377
2022 02 19 23 30 00 1 5948.355
2022 02 19 23 15 00 1 5948.323
2022 02 19 23 00 00 1 5948.283
2022 02 19 22 45 00 1 5948.230
2022 02 19 22 30 00 1 5948.165
2022 02 19 22 15 00 1 5948.097
2022 02 19 22 00 00 1 5948.015
2022 02 19 21 45 00 1 5947.928
2022 02 19 21 30 00 1 5947.837
2022 02 19 21 15 00 1 5947.740
2022 02 19 21 00 00 1 5947.643
2022 02 19 20 45 00 1 5947.546
2022 02 19 20 30 00 1 5947.450
2022 02 19 20 15 00 1 5947.357
2022 02 19 20 00 00 1 5947.268
2022 02 19 19 45 00 1 5947.182
2022 02 19 19 30 00 1 5947.108
2022 02 19 19 15 00 1 5947.037
2022 02 19 19 00 00 1 5946.976
2022 02 19 18 45 00 1 5946.927
2022 02 19 18 30 00 1 5946.889
2022 02 19 18 15 00 1 5946.862
2022 02 19 18 00 00 1 5946.847
2022 02 19 17 45 00 1 5946.842
2022 02 19 17 30 00 1 5946.853
2022 02 19 17 15 00 1 5946.879
2022 02 19 17 00 00 1 5946.911
2022 02 19 16 45 00 1 5946.957
2022 02 19 16 30 00 1 5947.015
2022 02 19 16 15 00 1 5947.082
2022 02 19 16 00 00 1 5947.155
2022 02 19 15 45 00 1 5947.239
2022 02 19 15 30 00 1 5947.330
2022 02 19 15 15 00 1 5947.423
2022 02 19 15 00 00 1 5947.518
2022 02 19 14 45 00 1 5947.618
2022 02 19 14 30 00 1 5947.719
2022 02 19 14 15 00 1 5947.816
2022 02 19 14 00 00 1 5947.911
2022 02 19 13 45 00 1 5948.000
2022 02 19 13 30 00 1 5948.084
2022 02 19 13 15 00 1 5948.161
2022 02 19 13 00 00 1 5948.230
2022 02 19 12 45 00 1 5948.287
2022 02 19 12 30 00 1 5948.339
2022 02 19 12 15 00 1 5948.376
2022 02 19 12 00 00 1 5948.408
2022 02 19 11 45 00 1 5948.425
2022 02 19 11 30 00 1 5948.431
2022 02 19 11 15 00 1 5948.426
2022 02 19 11 00 00 1 5948.405
