#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4769.523
2022 02 20 05 45 00 1 4769.527
2022 02 20 05 30 00 1 4769.531
2022 02 20 05 15 00 1 4769.527
2022 02 20 05 00 00 1 4769.527
2022 02 20 04 45 00 1 4769.519
2022 02 20 04 30 00 1 4769.512
2022 02 20 04 15 00 1 4769.504
2022 02 20 04 00 00 1 4769.488
2022 02 20 03 45 00 1 4769.481
2022 02 20 03 30 00 1 4769.471
2022 02 20 03 15 00 1 4769.461
2022 02 20 03 00 00 1 4769.447
2022 02 20 02 45 00 1 4769.432
2022 02 20 02 30 00 1 4769.422
2022 02 20 02 15 00 1 4769.408
2022 02 20 02 00 00 1 4769.398
2022 02 20 01 45 00 1 4769.390
2022 02 20 01 30 00 1 4769.385
2022 02 20 01 15 00 1 4769.378
2022 02 20 01 00 00 1 4769.377
2022 02 20 00 45 00 1 4769.375
2022 02 20 00 30 00 1 4769.378
2022 02 20 00 15 00 1 4769.382
2022 02 20 00 00 00 1 4769.387
2022 02 19 23 45 00 1 4769.396
2022 02 19 23 30 00 1 4769.403
2022 02 19 23 15 00 1 4769.413
2022 02 19 23 00 00 1 4769.427
2022 02 19 22 45 00 1 4769.440
2022 02 19 22 30 00 1 4769.453
2022 02 19 22 15 00 1 4769.468
2022 02 19 22 00 00 1 4769.484
2022 02 19 21 45 00 1 4769.503
2022 02 19 21 30 00 1 4769.519
2022 02 19 21 15 00 1 4769.534
2022 02 19 21 00 00 1 4769.551
2022 02 19 20 45 00 1 4769.564
2022 02 19 20 30 00 1 4769.578
2022 02 19 20 15 00 1 4769.593
2022 02 19 20 00 00 1 4769.600
2022 02 19 19 45 00 1 4769.606
2022 02 19 19 30 00 1 4769.609
2022 02 19 19 15 00 1 4769.612
2022 02 19 19 00 00 1 4769.611
2022 02 19 18 45 00 1 4769.608
2022 02 19 18 30 00 1 4769.605
2022 02 19 18 15 00 1 4769.597
2022 02 19 18 00 00 1 4769.585
2022 02 19 17 45 00 1 4769.568
2022 02 19 17 30 00 1 4769.549
2022 02 19 17 15 00 1 4769.526
2022 02 19 17 00 00 1 4769.500
2022 02 19 16 45 00 1 4769.472
2022 02 19 16 30 00 1 4769.443
2022 02 19 16 15 00 1 4769.415
2022 02 19 16 00 00 1 4769.384
2022 02 19 15 45 00 1 4769.351
2022 02 19 15 30 00 1 4769.321
2022 02 19 15 15 00 1 4769.291
2022 02 19 15 00 00 1 4769.258
2022 02 19 14 45 00 1 4769.229
2022 02 19 14 30 00 1 4769.196
2022 02 19 14 15 00 1 4769.165
2022 02 19 14 00 00 1 4769.136
