#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 04 00 00 1 1591.133
2022 02 20 03 45 00 1 1591.212
2022 02 20 03 30 00 1 1591.313
2022 02 20 03 15 00 1 1591.417
2022 02 20 03 00 00 1 1591.539
2022 02 20 02 45 00 1 1591.667
2022 02 20 02 30 00 1 1591.804
2022 02 20 02 15 00 1 1591.942
2022 02 20 02 00 00 1 1592.083
2022 02 20 01 45 00 1 1592.221
2022 02 20 01 30 00 1 1592.359
2022 02 20 01 15 00 1 1592.495
2022 02 20 01 00 00 1 1592.617
2022 02 20 00 45 00 1 1592.724
2022 02 20 00 30 00 1 1592.839
2022 02 20 00 15 00 1 1592.934
2022 02 20 00 00 00 1 1593.011
2022 02 19 23 45 00 1 1593.077
2022 02 19 23 30 00 1 1593.134
2022 02 19 23 15 00 1 1593.168
2022 02 19 23 00 00 1 1593.181
2022 02 19 22 45 00 1 1593.177
2022 02 19 22 30 00 1 1593.153
2022 02 19 22 15 00 1 1593.112
2022 02 19 22 00 00 1 1593.052
2022 02 19 21 45 00 1 1592.979
2022 02 19 21 30 00 1 1592.897
2022 02 19 21 15 00 1 1592.793
2022 02 19 21 00 00 1 1592.682
2022 02 19 20 45 00 1 1592.556
2022 02 19 20 30 00 1 1592.420
2022 02 19 20 15 00 1 1592.277
2022 02 19 20 00 00 1 1592.131
2022 02 19 19 45 00 1 1591.989
2022 02 19 19 30 00 1 1591.846
2022 02 19 19 15 00 1 1591.700
2022 02 19 19 00 00 1 1591.564
2022 02 19 18 45 00 1 1591.439
2022 02 19 18 30 00 1 1591.316
2022 02 19 18 15 00 1 1591.204
2022 02 19 18 00 00 1 1591.108
2022 02 19 17 45 00 1 1591.027
2022 02 19 17 30 00 1 1590.962
2022 02 19 17 15 00 1 1590.907
2022 02 19 17 00 00 1 1590.870
2022 02 19 16 45 00 1 1590.850
2022 02 19 16 30 00 1 1590.852
2022 02 19 16 15 00 1 1590.871
2022 02 19 16 00 00 1 1590.903
2022 02 19 15 45 00 1 1590.963
2022 02 19 15 30 00 1 1591.036
2022 02 19 15 15 00 1 1591.118
2022 02 19 15 00 00 1 1591.215
2022 02 19 14 45 00 1 1591.327
2022 02 19 14 30 00 1 1591.450
2022 02 19 14 15 00 1 1591.577
2022 02 19 14 00 00 1 1591.716
2022 02 19 13 45 00 1 1591.856
2022 02 19 13 30 00 1 1591.993
2022 02 19 13 15 00 1 1592.134
2022 02 19 13 00 00 1 1592.264
2022 02 19 12 45 00 1 1592.395
2022 02 19 12 30 00 1 1592.519
2022 02 19 12 15 00 1 1592.636
2022 02 19 12 00 00 1 1592.741
2022 02 19 11 45 00 1 1592.833
2022 02 19 11 30 00 1 1592.904
2022 02 19 11 15 00 1 1592.971
2022 02 19 11 00 00 1 1593.013
2022 02 19 10 45 00 1 1593.037
2022 02 19 10 30 00 1 1593.047
2022 02 19 10 15 00 1 1593.037
2022 02 19 10 00 00 1 1593.006
2022 02 19 09 45 00 1 1592.970
2022 02 19 09 30 00 1 1592.903
2022 02 19 09 15 00 1 1592.829
2022 02 19 09 00 00 1 1592.733
2022 02 19 08 45 00 1 1592.634
2022 02 19 08 30 00 1 1592.517
2022 02 19 08 15 00 1 1592.405
2022 02 19 08 00 00 1 1592.276
2022 02 19 07 45 00 1 1592.146
2022 02 19 07 30 00 1 1592.013
2022 02 19 07 15 00 1 1591.886
2022 02 19 07 00 00 1 1591.753
2022 02 19 06 45 00 1 1591.622
2022 02 19 06 30 00 1 1591.510
2022 02 19 06 15 00 1 1591.395
2022 02 19 06 00 00 1 1591.297
2022 02 19 05 45 00 1 1591.214
2022 02 19 05 30 00 1 1591.143
2022 02 19 05 15 00 1 1591.085
2022 02 19 05 00 00 1 1591.049
2022 02 19 04 45 00 1 1591.024
2022 02 19 04 30 00 1 1591.016
2022 02 19 04 15 00 1 1591.024
2022 02 19 04 00 00 1 1591.050
2022 02 19 03 45 00 1 1591.085
2022 02 19 03 30 00 1 1591.143
2022 02 19 03 15 00 1 1591.219
2022 02 19 03 00 00 1 1591.305
2022 02 19 02 45 00 1 1591.402
2022 02 19 02 30 00 1 1591.519
2022 02 19 02 15 00 1 1591.639
2022 02 19 02 00 00 1 1591.761
