#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4288.023
2022 02 20 05 45 00 1 4287.940
2022 02 20 05 30 00 1 4287.863
2022 02 20 05 15 00 1 4287.790
2022 02 20 05 00 00 1 4287.724
2022 02 20 04 45 00 1 4287.669
2022 02 20 04 30 00 1 4287.620
2022 02 20 04 15 00 1 4287.579
2022 02 20 04 00 00 1 4287.551
2022 02 20 03 45 00 1 4287.533
2022 02 20 03 30 00 1 4287.526
2022 02 20 03 15 00 1 4287.530
2022 02 20 03 00 00 1 4287.546
2022 02 20 02 45 00 1 4287.569
2022 02 20 02 30 00 1 4287.606
2022 02 20 02 15 00 1 4287.647
2022 02 20 02 00 00 1 4287.698
2022 02 20 01 45 00 1 4287.759
2022 02 20 01 30 00 1 4287.829
2022 02 20 01 15 00 1 4287.901
2022 02 20 01 00 00 1 4287.978
2022 02 20 00 45 00 1 4288.063
2022 02 20 00 30 00 1 4288.148
2022 02 20 00 15 00 1 4288.236
2022 02 20 00 00 00 1 4288.328
2022 02 19 23 45 00 1 4288.412
2022 02 19 23 30 00 1 4288.498
2022 02 19 23 15 00 1 4288.576
2022 02 19 23 00 00 1 4288.649
2022 02 19 22 45 00 1 4288.717
2022 02 19 22 30 00 1 4288.780
2022 02 19 22 15 00 1 4288.834
2022 02 19 22 00 00 1 4288.877
2022 02 19 21 45 00 1 4288.916
2022 02 19 21 30 00 1 4288.944
2022 02 19 21 15 00 1 4288.964
2022 02 19 21 00 00 1 4288.974
2022 02 19 20 45 00 1 4288.969
2022 02 19 20 30 00 1 4288.957
2022 02 19 20 15 00 1 4288.938
2022 02 19 20 00 00 1 4288.906
2022 02 19 19 45 00 1 4288.869
2022 02 19 19 30 00 1 4288.824
2022 02 19 19 15 00 1 4288.773
2022 02 19 19 00 00 1 4288.711
2022 02 19 18 45 00 1 4288.649
2022 02 19 18 30 00 1 4288.581
2022 02 19 18 15 00 1 4288.511
2022 02 19 18 00 00 1 4288.442
2022 02 19 17 45 00 1 4288.374
2022 02 19 17 30 00 1 4288.309
2022 02 19 17 15 00 1 4288.245
2022 02 19 17 00 00 1 4288.188
2022 02 19 16 45 00 1 4288.133
2022 02 19 16 30 00 1 4288.083
2022 02 19 16 15 00 1 4288.041
2022 02 19 16 00 00 1 4288.004
2022 02 19 15 45 00 1 4287.976
2022 02 19 15 30 00 1 4287.959
2022 02 19 15 15 00 1 4287.950
2022 02 19 15 00 00 1 4287.951
2022 02 19 14 45 00 1 4287.960
2022 02 19 14 30 00 1 4287.978
2022 02 19 14 15 00 1 4288.009
2022 02 19 14 00 00 1 4288.043
2022 02 19 13 45 00 1 4288.087
2022 02 19 13 30 00 1 4288.137
2022 02 19 13 15 00 1 4288.194
2022 02 19 13 00 00 1 4288.254
2022 02 19 12 45 00 1 4288.316
2022 02 19 12 30 00 1 4288.384
2022 02 19 12 15 00 1 4288.449
2022 02 19 12 00 00 1 4288.517
2022 02 19 11 45 00 1 4288.586
2022 02 19 11 30 00 1 4288.649
2022 02 19 11 15 00 1 4288.711
2022 02 19 11 00 00 1 4288.767
2022 02 19 10 45 00 1 4288.813
2022 02 19 10 30 00 1 4288.855
2022 02 19 10 15 00 1 4288.891
2022 02 19 10 00 00 1 4288.914
2022 02 19 09 45 00 1 4288.931
2022 02 19 09 30 00 1 4288.934
2022 02 19 09 15 00 1 4288.929
2022 02 19 09 00 00 1 4288.917
2022 02 19 08 45 00 1 4288.895
2022 02 19 08 30 00 1 4288.858
2022 02 19 08 15 00 1 4288.816
2022 02 19 08 00 00 1 4288.763
2022 02 19 07 45 00 1 4288.701
2022 02 19 07 30 00 1 4288.634
2022 02 19 07 15 00 1 4288.559
2022 02 19 07 00 00 1 4288.476
2022 02 19 06 45 00 1 4288.392
2022 02 19 06 30 00 1 4288.302
2022 02 19 06 15 00 1 4288.208
2022 02 19 06 00 00 1 4288.116
2022 02 19 05 45 00 1 4288.024
2022 02 19 05 30 00 1 4287.933
2022 02 19 05 15 00 1 4287.848
2022 02 19 05 00 00 1 4287.769
2022 02 19 04 45 00 1 4287.695
2022 02 19 04 30 00 1 4287.625
2022 02 19 04 15 00 1 4287.566
2022 02 19 04 00 00 1 4287.514
2022 02 19 03 45 00 1 4287.473
2022 02 19 03 30 00 1 4287.443
2022 02 19 03 15 00 1 4287.422
2022 02 19 03 00 00 1 4287.413
2022 02 19 02 45 00 1 4287.417
2022 02 19 02 30 00 1 4287.433
2022 02 19 02 15 00 1 4287.459
2022 02 19 02 00 00 1 4287.497
2022 02 19 01 45 00 1 4287.545
2022 02 19 01 30 00 1 4287.606
2022 02 19 01 15 00 1 4287.671
2022 02 19 01 00 00 1 4287.746
2022 02 19 00 45 00 1 4287.827
2022 02 19 00 30 00 1 4287.914
2022 02 19 00 15 00 1 4288.005
2022 02 19 00 00 00 1 4288.100
2022 02 18 23 45 00 1 4288.199
2022 02 18 23 30 00 1 4288.295
2022 02 18 23 15 00 1 4288.389
2022 02 18 23 00 00 1 4288.483
2022 02 18 22 45 00 1 4288.578
2022 02 18 22 30 00 1 4288.667
2022 02 18 22 15 00 1 4288.745
2022 02 18 22 00 00 1 4288.822
2022 02 18 21 45 00 1 4288.889
2022 02 18 21 30 00 1 4288.948
2022 02 18 21 15 00 1 4288.999
2022 02 18 21 00 00 1 4289.036
2022 02 18 20 45 00 1 4289.062
2022 02 18 20 30 00 1 4289.084
2022 02 18 20 15 00 1 4289.090
2022 02 18 20 00 00 1 4289.091
2022 02 18 19 45 00 1 4289.078
2022 02 18 19 30 00 1 4289.056
2022 02 18 19 15 00 1 4289.025
2022 02 18 19 00 00 1 4288.984
