#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 19 23 00 00 1 3380.837
2022 02 19 22 45 00 1 3380.849
2022 02 19 22 30 00 1 3380.840
2022 02 19 22 15 00 1 3380.818
2022 02 19 22 00 00 1 3380.776
2022 02 19 21 45 00 1 3380.716
2022 02 19 21 30 00 1 3380.639
2022 02 19 21 15 00 1 3380.550
2022 02 19 20 00 00 1 3379.962
2022 02 19 19 45 00 1 3379.832
2022 02 19 19 30 00 1 3379.702
2022 02 19 19 15 00 1 3379.578
2022 02 19 19 00 00 1 3379.456
2022 02 19 18 45 00 1 3379.339
2022 02 19 18 30 00 1 3379.232
2022 02 19 18 15 00 1 3379.137
2022 02 19 17 00 00 1 3378.868
2022 02 19 16 45 00 1 3378.858
2022 02 19 16 30 00 1 3378.869
2022 02 19 16 15 00 1 3378.899
2022 02 19 16 00 00 1 3378.944
2022 02 19 15 45 00 1 3379.001
2022 02 19 15 30 00 1 3379.078
2022 02 19 15 15 00 1 3379.168
2022 02 19 15 00 00 1 3379.270
2022 02 19 14 45 00 1 3379.385
2022 02 19 14 30 00 1 3379.505
2022 02 19 14 15 00 1 3379.634
2022 02 19 14 00 00 1 3379.767
2022 02 19 13 45 00 1 3379.897
2022 02 19 13 30 00 1 3380.025
2022 02 19 13 15 00 1 3380.152
2022 02 19 13 00 00 1 3380.275
2022 02 19 12 45 00 1 3380.389
2022 02 19 12 30 00 1 3380.496
2022 02 19 12 15 00 1 3380.594
2022 02 19 12 00 00 1 3380.674
2022 02 19 11 45 00 1 3380.739
2022 02 19 11 30 00 1 3380.792
2022 02 19 11 15 00 1 3380.826
2022 02 19 11 00 00 1 3380.840
2022 02 19 10 45 00 1 3380.840
2022 02 19 10 30 00 1 3380.821
2022 02 19 10 15 00 1 3380.779
2022 02 19 09 00 00 1 3380.319
2022 02 19 08 45 00 1 3380.186
2022 02 19 08 30 00 1 3380.044
2022 02 19 08 15 00 1 3379.893
2022 02 19 08 00 00 1 3379.736
2022 02 19 07 45 00 1 3379.582
2022 02 19 07 30 00 1 3379.423
2022 02 19 07 15 00 1 3379.263
2022 02 19 07 00 00 1 3379.109
2022 02 19 06 45 00 1 3378.964
2022 02 19 06 30 00 1 3378.825
2022 02 19 06 15 00 1 3378.699
2022 02 19 06 00 00 1 3378.584
2022 02 19 05 45 00 1 3378.487
2022 02 19 05 30 00 1 3378.404
2022 02 19 05 15 00 1 3378.336
2022 02 19 05 00 00 1 3378.292
2022 02 19 04 45 00 1 3378.266
2022 02 19 04 30 00 1 3378.256
2022 02 19 04 15 00 1 3378.273
2022 02 19 04 00 00 1 3378.306
2022 02 19 03 45 00 1 3378.356
2022 02 19 03 30 00 1 3378.428
2022 02 19 03 15 00 1 3378.516
2022 02 19 03 00 00 1 3378.622
2022 02 19 02 45 00 1 3378.741
2022 02 19 02 30 00 1 3378.874
2022 02 19 02 15 00 1 3379.020
2022 02 19 02 00 00 1 3379.174
2022 02 19 01 45 00 1 3379.335
2022 02 19 01 30 00 1 3379.499
2022 02 19 01 15 00 1 3379.666
2022 02 19 01 00 00 1 3379.831
2022 02 19 00 45 00 1 3379.991
2022 02 19 00 30 00 1 3380.145
2022 02 19 00 15 00 1 3380.292
2022 02 19 00 00 00 1 3380.424
2022 02 18 23 45 00 1 3380.547
2022 02 18 23 30 00 1 3380.657
2022 02 18 23 15 00 1 3380.749
2022 02 18 23 00 00 1 3380.828
2022 02 18 22 45 00 1 3380.890
2022 02 18 22 30 00 1 3380.933
2022 02 18 22 15 00 1 3380.955
2022 02 18 22 00 00 1 3380.959
2022 02 18 21 45 00 1 3380.943
2022 02 18 21 30 00 1 3380.916
2022 02 18 21 15 00 1 3380.864
2022 02 18 21 00 00 1 3380.799
2022 02 18 20 45 00 1 3380.719
2022 02 18 20 30 00 1 3380.625
2022 02 18 20 15 00 1 3380.523
2022 02 18 20 00 00 1 3380.411
2022 02 18 19 45 00 1 3380.290
2022 02 18 19 30 00 1 3380.163
2022 02 18 19 15 00 1 3380.034
2022 02 18 19 00 00 1 3379.903
2022 02 18 18 45 00 1 3379.773
2022 02 18 18 30 00 1 3379.647
2022 02 18 18 15 00 1 3379.524
2022 02 18 18 00 00 1 3379.412
2022 02 18 17 45 00 1 3379.312
2022 02 18 17 30 00 1 3379.222
2022 02 18 17 15 00 1 3379.143
2022 02 18 17 00 00 1 3379.077
2022 02 18 16 45 00 1 3379.028
2022 02 18 16 30 00 1 3378.996
2022 02 18 16 15 00 1 3378.977
2022 02 18 16 00 00 1 3378.977
2022 02 18 15 45 00 1 3378.994
2022 02 18 15 30 00 1 3379.026
2022 02 18 15 15 00 1 3379.073
2022 02 18 15 00 00 1 3379.140
2022 02 18 14 45 00 1 3379.218
2022 02 18 14 30 00 1 3379.305
2022 02 18 14 15 00 1 3379.405
2022 02 18 14 00 00 1 3379.517
2022 02 18 13 45 00 1 3379.628
2022 02 18 13 30 00 1 3379.751
2022 02 18 13 15 00 1 3379.871
2022 02 18 13 00 00 1 3379.990
2022 02 18 12 45 00 1 3380.114
2022 02 18 12 30 00 1 3380.227
2022 02 18 12 15 00 1 3380.338
2022 02 18 12 00 00 1 3380.438
2022 02 18 11 45 00 1 3380.525
2022 02 18 11 30 00 1 3380.603
2022 02 18 11 15 00 1 3380.667
2022 02 18 11 00 00 1 3380.716
2022 02 18 10 45 00 1 3380.745
2022 02 18 10 30 00 1 3380.758
2022 02 18 10 15 00 1 3380.752
2022 02 18 10 00 00 1 3380.729
2022 02 18 09 45 00 1 3380.687
2022 02 18 09 30 00 1 3380.630
2022 02 18 09 15 00 1 3380.556
2022 02 18 09 00 00 1 3380.467
2022 02 18 08 45 00 1 3380.359
2022 02 18 08 30 00 1 3380.238
2022 02 18 08 15 00 1 3380.106
2022 02 18 07 00 00 1 3379.348
2022 02 18 06 45 00 1 3379.193
2022 02 18 06 30 00 1 3379.040
2022 02 18 06 15 00 1 3378.891
2022 02 18 03 00 00 1 3378.340
2022 02 18 02 45 00 1 3378.430
2022 02 18 02 30 00 1 3378.533
2022 02 18 02 15 00 1 3378.656
2022 02 18 02 00 00 1 3378.793
2022 02 18 01 45 00 1 3378.933
2022 02 18 01 30 00 1 3379.090
2022 02 18 01 15 00 1 3379.253
2022 02 18 01 00 00 1 3379.417
2022 02 18 00 45 00 1 3379.586
2022 02 18 00 30 00 1 3379.756
2022 02 18 00 15 00 1 3379.919
2022 02 18 00 00 00 1 3380.079
2022 02 17 23 45 00 1 3380.228
2022 02 17 23 30 00 1 3380.374
2022 02 17 23 15 00 1 3380.510
2022 02 17 23 00 00 1 3380.628
2022 02 17 22 45 00 1 3380.734
2022 02 17 22 30 00 1 3380.821
2022 02 17 22 15 00 1 3380.892
2022 02 17 22 00 00 1 3380.948
2022 02 17 21 45 00 1 3380.984
2022 02 17 21 30 00 1 3380.998
2022 02 17 21 15 00 1 3381.003
2022 02 17 21 00 00 1 3380.980
