#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 5805.359
2022 02 20 05 45 00 1 5805.376
2022 02 20 05 30 00 1 5805.403
2022 02 20 05 15 00 1 5805.440
2022 02 20 05 00 00 1 5805.493
2022 02 20 04 45 00 1 5805.553
2022 02 20 04 30 00 1 5805.622
2022 02 20 04 15 00 1 5805.696
2022 02 20 04 00 00 1 5805.780
2022 02 20 03 45 00 1 5805.867
2022 02 20 03 30 00 1 5805.955
2022 02 20 03 15 00 1 5806.047
2022 02 20 03 00 00 1 5806.141
2022 02 20 02 45 00 1 5806.235
2022 02 20 02 30 00 1 5806.324
2022 02 20 02 15 00 1 5806.409
2022 02 20 02 00 00 1 5806.488
2022 02 20 01 45 00 1 5806.562
2022 02 20 01 30 00 1 5806.627
2022 02 20 01 15 00 1 5806.679
2022 02 20 01 00 00 1 5806.722
2022 02 20 00 45 00 1 5806.757
2022 02 20 00 30 00 1 5806.776
2022 02 20 00 15 00 1 5806.783
2022 02 20 00 00 00 1 5806.783
2022 02 19 23 45 00 1 5806.767
2022 02 19 23 30 00 1 5806.736
2022 02 19 23 15 00 1 5806.699
2022 02 19 23 00 00 1 5806.650
2022 02 19 22 45 00 1 5806.591
2022 02 19 22 30 00 1 5806.524
2022 02 19 22 15 00 1 5806.447
2022 02 19 22 00 00 1 5806.363
2022 02 19 21 45 00 1 5806.271
2022 02 19 21 30 00 1 5806.172
2022 02 19 21 15 00 1 5806.072
2022 02 19 21 00 00 1 5805.971
2022 02 19 20 45 00 1 5805.871
2022 02 19 20 30 00 1 5805.769
2022 02 19 20 15 00 1 5805.672
2022 02 19 20 00 00 1 5805.579
2022 02 19 19 45 00 1 5805.494
2022 02 19 19 30 00 1 5805.415
2022 02 19 19 15 00 1 5805.344
2022 02 19 19 00 00 1 5805.284
2022 02 19 18 45 00 1 5805.236
2022 02 19 18 30 00 1 5805.197
2022 02 19 18 15 00 1 5805.173
2022 02 19 18 00 00 1 5805.163
2022 02 19 17 45 00 1 5805.163
2022 02 19 17 30 00 1 5805.178
2022 02 19 17 15 00 1 5805.204
2022 02 19 17 00 00 1 5805.244
2022 02 19 16 45 00 1 5805.297
2022 02 19 16 30 00 1 5805.357
2022 02 19 16 15 00 1 5805.431
2022 02 19 16 00 00 1 5805.512
2022 02 19 15 45 00 1 5805.599
2022 02 19 15 30 00 1 5805.694
2022 02 19 15 15 00 1 5805.792
2022 02 19 15 00 00 1 5805.894
2022 02 19 14 45 00 1 5805.997
2022 02 19 14 30 00 1 5806.097
2022 02 19 14 15 00 1 5806.198
2022 02 19 14 00 00 1 5806.297
2022 02 19 13 45 00 1 5806.388
2022 02 19 13 30 00 1 5806.473
2022 02 19 13 15 00 1 5806.549
2022 02 19 13 00 00 1 5806.617
2022 02 19 12 45 00 1 5806.676
2022 02 19 12 30 00 1 5806.723
2022 02 19 12 15 00 1 5806.760
2022 02 19 12 00 00 1 5806.783
2022 02 19 11 45 00 1 5806.795
2022 02 19 11 30 00 1 5806.795
2022 02 19 11 15 00 1 5806.784
2022 02 19 11 00 00 1 5806.762
2022 02 19 10 45 00 1 5806.726
2022 02 19 10 30 00 1 5806.681
2022 02 19 10 15 00 1 5806.627
2022 02 19 10 00 00 1 5806.566
2022 02 19 09 45 00 1 5806.492
2022 02 19 09 30 00 1 5806.418
2022 02 19 09 15 00 1 5806.337
