#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4779.823
2022 02 20 05 45 00 1 4779.875
2022 02 20 05 30 00 1 4779.923
2022 02 20 05 15 00 1 4779.969
2022 02 20 04 00 00 1 4780.117
2022 02 20 03 45 00 1 4780.127
2022 02 20 03 30 00 1 4780.135
2022 02 20 03 15 00 1 4780.136
2022 02 20 03 00 00 1 4780.129
2022 02 20 02 45 00 1 4780.117
2022 02 20 02 30 00 1 4780.099
2022 02 20 02 15 00 1 4780.075
2022 02 20 02 00 00 1 4780.042
2022 02 20 01 45 00 1 4780.010
2022 02 20 01 30 00 1 4779.969
2022 02 20 01 15 00 1 4779.926
2022 02 20 01 00 00 1 4779.879
2022 02 20 00 45 00 1 4779.830
2022 02 20 00 30 00 1 4779.780
2022 02 20 00 15 00 1 4779.726
2022 02 19 23 00 00 1 4779.481
2022 02 19 22 45 00 1 4779.442
2022 02 19 22 30 00 1 4779.404
2022 02 19 22 15 00 1 4779.368
2022 02 19 22 00 00 1 4779.340
2022 02 19 21 45 00 1 4779.317
2022 02 19 21 30 00 1 4779.300
2022 02 19 21 15 00 1 4779.288
2022 02 19 21 00 00 1 4779.283
2022 02 19 20 45 00 1 4779.285
2022 02 19 20 30 00 1 4779.294
2022 02 19 20 15 00 1 4779.308
2022 02 19 20 00 00 1 4779.326
2022 02 19 19 45 00 1 4779.352
2022 02 19 19 30 00 1 4779.384
2022 02 19 19 15 00 1 4779.416
2022 02 19 19 00 00 1 4779.451
2022 02 19 18 45 00 1 4779.490
2022 02 19 18 30 00 1 4779.530
2022 02 19 18 15 00 1 4779.570
2022 02 19 18 00 00 1 4779.612
2022 02 19 17 45 00 1 4779.654
2022 02 19 17 30 00 1 4779.691
2022 02 19 17 15 00 1 4779.729
2022 02 19 17 00 00 1 4779.764
2022 02 19 16 45 00 1 4779.795
2022 02 19 16 30 00 1 4779.824
2022 02 19 16 15 00 1 4779.847
2022 02 19 16 00 00 1 4779.864
2022 02 19 15 45 00 1 4779.879
2022 02 19 15 30 00 1 4779.888
2022 02 19 15 15 00 1 4779.891
2022 02 19 15 00 00 1 4779.887
2022 02 19 14 45 00 1 4779.880
2022 02 19 14 30 00 1 4779.865
2022 02 19 14 15 00 1 4779.845
2022 02 19 13 00 00 1 4779.680
2022 02 19 12 45 00 1 4779.636
2022 02 19 12 30 00 1 4779.590
2022 02 19 12 15 00 1 4779.546
2022 02 19 12 00 00 1 4779.498
2022 02 19 11 45 00 1 4779.451
2022 02 19 11 30 00 1 4779.409
2022 02 19 11 15 00 1 4779.369
2022 02 19 11 00 00 1 4779.334
2022 02 19 10 45 00 1 4779.302
2022 02 19 10 30 00 1 4779.275
2022 02 19 10 15 00 1 4779.254
2022 02 19 10 00 00 1 4779.240
2022 02 19 09 45 00 1 4779.231
2022 02 19 09 30 00 1 4779.226
2022 02 19 09 15 00 1 4779.226
2022 02 19 09 00 00 1 4779.237
2022 02 19 08 45 00 1 4779.249
2022 02 19 08 30 00 1 4779.266
2022 02 19 08 15 00 1 4779.292
2022 02 19 08 00 00 1 4779.325
2022 02 19 07 45 00 1 4779.364
2022 02 19 07 30 00 1 4779.408
2022 02 19 07 15 00 1 4779.456
2022 02 19 07 00 00 1 4779.510
2022 02 19 06 45 00 1 4779.562
2022 02 19 06 30 00 1 4779.620
2022 02 19 06 15 00 1 4779.676
2022 02 19 06 00 00 1 4779.734
2022 02 19 05 45 00 1 4779.791
2022 02 19 05 30 00 1 4779.846
2022 02 19 05 15 00 1 4779.899
2022 02 19 04 00 00 1 4780.115
2022 02 19 03 45 00 1 4780.145
