#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 5386.553
2022 02 20 05 45 00 1 5386.595
2022 02 20 05 30 00 1 5386.639
2022 02 20 05 15 00 1 5386.689
2022 02 20 05 00 00 1 5386.739
2022 02 20 04 45 00 1 5386.790
2022 02 20 04 30 00 1 5386.848
2022 02 20 04 15 00 1 5386.900
2022 02 20 04 00 00 1 5386.956
2022 02 20 03 45 00 1 5387.009
2022 02 20 03 30 00 1 5387.061
2022 02 20 03 15 00 1 5387.113
2022 02 20 03 00 00 1 5387.159
2022 02 20 02 45 00 1 5387.201
2022 02 20 02 30 00 1 5387.238
2022 02 20 02 15 00 1 5387.269
2022 02 20 01 00 00 1 5387.338
2022 02 20 00 45 00 1 5387.338
2022 02 20 00 30 00 1 5387.334
2022 02 20 00 15 00 1 5387.322
2022 02 19 18 00 00 1 5386.816
2022 02 19 17 45 00 1 5386.839
2022 02 19 17 30 00 1 5386.868
2022 02 19 17 15 00 1 5386.902
2022 02 19 17 00 00 1 5386.937
2022 02 19 16 45 00 1 5386.974
2022 02 19 16 30 00 1 5387.012
2022 02 19 16 15 00 1 5387.050
2022 02 19 15 00 00 1 5387.200
2022 02 19 14 45 00 1 5387.221
2022 02 19 14 30 00 1 5387.236
2022 02 19 14 15 00 1 5387.248
2022 02 19 14 00 00 1 5387.258
2022 02 19 13 45 00 1 5387.261
2022 02 19 13 30 00 1 5387.255
2022 02 19 13 15 00 1 5387.244
2022 02 19 13 00 00 1 5387.226
2022 02 19 12 45 00 1 5387.203
2022 02 19 12 30 00 1 5387.176
2022 02 19 12 15 00 1 5387.143
2022 02 19 12 00 00 1 5387.106
2022 02 19 11 45 00 1 5387.059
2022 02 19 11 30 00 1 5387.015
2022 02 19 11 15 00 1 5386.963
2022 02 19 11 00 00 1 5386.909
2022 02 19 10 45 00 1 5386.854
2022 02 19 10 30 00 1 5386.798
2022 02 19 10 15 00 1 5386.742
2022 02 19 10 00 00 1 5386.685
2022 02 19 09 45 00 1 5386.630
2022 02 19 09 30 00 1 5386.579
2022 02 19 09 15 00 1 5386.530
2022 02 19 09 00 00 1 5386.485
2022 02 19 08 45 00 1 5386.443
2022 02 19 08 30 00 1 5386.404
2022 02 19 08 15 00 1 5386.374
2022 02 19 08 00 00 1 5386.348
2022 02 19 07 45 00 1 5386.330
2022 02 19 07 30 00 1 5386.320
2022 02 19 07 15 00 1 5386.316
2022 02 19 07 00 00 1 5386.321
2022 02 19 06 45 00 1 5386.333
2022 02 19 06 30 00 1 5386.350
2022 02 19 06 15 00 1 5386.374
2022 02 19 06 00 00 1 5386.404
2022 02 19 05 45 00 1 5386.442
2022 02 19 05 30 00 1 5386.486
2022 02 19 05 15 00 1 5386.533
2022 02 19 05 00 00 1 5386.586
2022 02 19 04 45 00 1 5386.643
2022 02 19 04 30 00 1 5386.703
2022 02 19 04 15 00 1 5386.769
2022 02 19 04 00 00 1 5386.834
2022 02 19 03 45 00 1 5386.903
2022 02 19 03 30 00 1 5386.969
2022 02 19 03 15 00 1 5387.035
2022 02 19 03 00 00 1 5387.098
2022 02 19 02 45 00 1 5387.160
2022 02 19 02 30 00 1 5387.218
2022 02 19 02 15 00 1 5387.270
2022 02 19 02 00 00 1 5387.318
2022 02 19 01 45 00 1 5387.360
2022 02 19 01 30 00 1 5387.395
2022 02 19 01 15 00 1 5387.424
2022 02 19 01 00 00 1 5387.450
2022 02 19 00 45 00 1 5387.467
2022 02 19 00 30 00 1 5387.479
2022 02 19 00 15 00 1 5387.487
2022 02 19 00 00 00 1 5387.489
2022 02 18 23 45 00 1 5387.483
2022 02 18 23 30 00 1 5387.470
2022 02 18 23 15 00 1 5387.454
2022 02 18 23 00 00 1 5387.431
2022 02 18 22 45 00 1 5387.404
2022 02 18 22 30 00 1 5387.371
2022 02 18 22 15 00 1 5387.333
2022 02 18 22 00 00 1 5387.292
2022 02 18 21 45 00 1 5387.252
2022 02 18 21 30 00 1 5387.209
2022 02 18 21 15 00 1 5387.166
2022 02 18 21 00 00 1 5387.125
2022 02 18 20 45 00 1 5387.087
2022 02 18 20 30 00 1 5387.047
2022 02 18 20 15 00 1 5387.010
2022 02 18 20 00 00 1 5386.978
2022 02 18 19 45 00 1 5386.950
2022 02 18 19 30 00 1 5386.927
2022 02 18 19 15 00 1 5386.904
2022 02 18 19 00 00 1 5386.888
2022 02 18 18 45 00 1 5386.876
2022 02 18 18 30 00 1 5386.866
2022 02 18 18 15 00 1 5386.865
2022 02 18 18 00 00 1 5386.865
2022 02 18 17 45 00 1 5386.873
2022 02 18 17 30 00 1 5386.883
2022 02 18 17 15 00 1 5386.901
2022 02 18 17 00 00 1 5386.921
2022 02 18 16 45 00 1 5386.944
2022 02 18 16 30 00 1 5386.969
2022 02 18 16 15 00 1 5386.995
2022 02 18 16 00 00 1 5387.025
2022 02 18 15 45 00 1 5387.054
2022 02 18 15 30 00 1 5387.079
2022 02 18 15 15 00 1 5387.106
2022 02 18 15 00 00 1 5387.133
2022 02 18 14 45 00 1 5387.157
2022 02 18 14 30 00 1 5387.177
2022 02 18 14 15 00 1 5387.195
2022 02 18 14 00 00 1 5387.210
2022 02 18 13 45 00 1 5387.220
2022 02 18 13 30 00 1 5387.222
2022 02 18 13 15 00 1 5387.220
2022 02 18 13 00 00 1 5387.206
