#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 05 00 00 1 5722.926
2022 02 20 04 45 00 1 5722.889
2022 02 20 04 30 00 1 5722.856
2022 02 20 04 15 00 1 5722.821
2022 02 20 03 00 00 1 5722.734
2022 02 20 02 45 00 1 5722.730
2022 02 20 02 30 00 1 5722.734
2022 02 20 02 15 00 1 5722.742
2022 02 20 02 00 00 1 5722.752
2022 02 20 01 45 00 1 5722.769
2022 02 20 01 30 00 1 5722.784
2022 02 20 01 15 00 1 5722.806
2022 02 20 00 00 00 1 5722.960
2022 02 19 23 45 00 1 5722.997
2022 02 19 23 30 00 1 5723.033
2022 02 19 23 15 00 1 5723.072
2022 02 19 23 00 00 1 5723.108
2022 02 19 22 45 00 1 5723.143
2022 02 19 22 30 00 1 5723.175
2022 02 19 22 15 00 1 5723.201
2022 02 19 22 00 00 1 5723.226
2022 02 19 21 45 00 1 5723.249
2022 02 19 21 30 00 1 5723.265
2022 02 19 21 15 00 1 5723.275
2022 02 19 21 00 00 1 5723.279
2022 02 19 20 45 00 1 5723.280
2022 02 19 20 30 00 1 5723.275
2022 02 19 20 15 00 1 5723.262
2022 02 19 20 00 00 1 5723.247
2022 02 19 19 45 00 1 5723.224
2022 02 19 19 30 00 1 5723.198
2022 02 19 19 15 00 1 5723.168
2022 02 19 19 00 00 1 5723.130
2022 02 19 18 45 00 1 5723.088
2022 02 19 18 30 00 1 5723.048
2022 02 19 18 15 00 1 5723.002
2022 02 19 18 00 00 1 5722.955
2022 02 19 17 45 00 1 5722.908
2022 02 19 17 30 00 1 5722.856
2022 02 19 17 15 00 1 5722.806
2022 02 19 17 00 00 1 5722.757
2022 02 19 16 45 00 1 5722.711
2022 02 19 16 30 00 1 5722.664
2022 02 19 16 15 00 1 5722.623
2022 02 19 16 00 00 1 5722.586
2022 02 19 15 45 00 1 5722.552
2022 02 19 15 30 00 1 5722.523
2022 02 19 15 15 00 1 5722.500
2022 02 19 15 00 00 1 5722.483
2022 02 19 14 45 00 1 5722.470
