#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 3227.463
2022 02 20 05 45 00 1 3227.407
2022 02 20 05 30 00 1 3227.367
2022 02 20 05 15 00 1 3227.340
2022 02 20 05 00 00 1 3227.332
2022 02 20 04 45 00 1 3227.335
2022 02 20 04 30 00 1 3227.353
2022 02 20 04 15 00 1 3227.386
2022 02 20 04 00 00 1 3227.433
2022 02 20 03 45 00 1 3227.490
2022 02 20 03 30 00 1 3227.560
2022 02 20 03 15 00 1 3227.645
2022 02 20 03 00 00 1 3227.736
2022 02 20 02 45 00 1 3227.837
2022 02 20 02 30 00 1 3227.944
2022 02 20 02 15 00 1 3228.056
2022 02 20 02 00 00 1 3228.175
2022 02 20 01 45 00 1 3228.291
2022 02 20 01 30 00 1 3228.408
2022 02 20 01 15 00 1 3228.521
2022 02 20 01 00 00 1 3228.632
2022 02 20 00 45 00 1 3228.736
2022 02 20 00 30 00 1 3228.832
2022 02 20 00 15 00 1 3228.922
2022 02 20 00 00 00 1 3229.004
2022 02 19 23 45 00 1 3229.073
2022 02 19 23 30 00 1 3229.126
2022 02 19 23 15 00 1 3229.168
2022 02 19 23 00 00 1 3229.191
2022 02 19 22 45 00 1 3229.198
2022 02 19 22 30 00 1 3229.190
2022 02 19 22 15 00 1 3229.168
2022 02 19 22 00 00 1 3229.130
2022 02 19 21 45 00 1 3229.078
2022 02 19 21 30 00 1 3229.017
2022 02 19 21 15 00 1 3228.943
2022 02 19 21 00 00 1 3228.856
2022 02 19 20 45 00 1 3228.761
2022 02 19 20 30 00 1 3228.653
2022 02 19 20 15 00 1 3228.540
2022 02 19 20 00 00 1 3228.422
2022 02 19 19 45 00 1 3228.299
2022 02 19 19 30 00 1 3228.179
2022 02 19 19 15 00 1 3228.059
2022 02 19 19 00 00 1 3227.942
2022 02 19 18 45 00 1 3227.828
2022 02 19 18 30 00 1 3227.721
2022 02 19 18 15 00 1 3227.622
2022 02 19 18 00 00 1 3227.533
2022 02 19 17 45 00 1 3227.456
2022 02 19 17 30 00 1 3227.389
2022 02 19 17 15 00 1 3227.333
2022 02 19 17 00 00 1 3227.296
2022 02 19 16 45 00 1 3227.275
2022 02 19 16 30 00 1 3227.270
2022 02 19 16 15 00 1 3227.276
2022 02 19 16 00 00 1 3227.299
2022 02 19 15 45 00 1 3227.337
2022 02 19 15 30 00 1 3227.390
2022 02 19 15 15 00 1 3227.452
2022 02 19 15 00 00 1 3227.530
