#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 3021.083
2022 02 20 05 45 00 1 3021.094
2022 02 20 05 15 00 1 3021.103
2022 02 20 05 00 00 1 3021.099
2022 02 20 04 45 00 1 3021.089
2022 02 20 04 15 00 1 3021.057
2022 02 20 04 00 00 1 3021.030
2022 02 20 03 45 00 1 3021.002
2022 02 20 03 15 00 1 3020.934
2022 02 20 03 00 00 1 3020.895
2022 02 20 02 45 00 1 3020.856
2022 02 20 02 15 00 1 3020.771
2022 02 20 02 00 00 1 3020.731
2022 02 20 01 45 00 1 3020.689
2022 02 20 01 30 00 1 3020.648
2022 02 20 01 15 00 1 3020.609
2022 02 20 01 00 00 1 3020.574
2022 02 20 00 45 00 1 3020.540
2022 02 20 00 15 00 1 3020.481
2022 02 20 00 00 00 1 3020.459
2022 02 19 23 45 00 1 3020.440
2022 02 19 23 30 00 1 3020.429
2022 02 19 23 15 00 1 3020.418
2022 02 19 23 00 00 1 3020.417
2022 02 19 22 45 00 1 3020.420
2022 02 19 22 30 00 1 3020.431
2022 02 19 22 15 00 1 3020.446
2022 02 19 22 00 00 1 3020.465
2022 02 19 21 45 00 1 3020.493
2022 02 19 21 30 00 1 3020.525
2022 02 19 21 15 00 1 3020.560
2022 02 19 21 00 00 1 3020.601
2022 02 19 20 45 00 1 3020.642
2022 02 19 20 30 00 1 3020.688
2022 02 19 20 15 00 1 3020.733
2022 02 19 20 00 00 1 3020.780
2022 02 19 19 45 00 1 3020.827
2022 02 19 19 30 00 1 3020.873
2022 02 19 19 15 00 1 3020.916
2022 02 19 19 00 00 1 3020.961
2022 02 19 18 45 00 1 3021.005
2022 02 19 18 30 00 1 3021.046
2022 02 19 18 15 00 1 3021.086
2022 02 19 18 00 00 1 3021.120
2022 02 19 17 45 00 1 3021.147
2022 02 19 17 15 00 1 3021.182
2022 02 19 17 00 00 1 3021.193
2022 02 19 16 45 00 1 3021.196
2022 02 19 16 15 00 1 3021.184
2022 02 19 16 00 00 1 3021.168
2022 02 19 15 45 00 1 3021.151
2022 02 19 15 15 00 1 3021.099
2022 02 19 15 00 00 1 3021.068
2022 02 19 14 45 00 1 3021.032
2022 02 19 14 15 00 1 3020.955
2022 02 19 14 00 00 1 3020.912
2022 02 19 13 45 00 1 3020.869
2022 02 19 13 15 00 1 3020.784
2022 02 19 13 00 00 1 3020.742
2022 02 19 12 45 00 1 3020.705
2022 02 19 12 15 00 1 3020.635
2022 02 19 12 00 00 1 3020.607
2022 02 19 11 45 00 1 3020.581
2022 02 19 11 15 00 1 3020.547
2022 02 19 11 00 00 1 3020.537
2022 02 19 10 45 00 1 3020.529
2022 02 19 10 15 00 1 3020.536
2022 02 19 10 00 00 1 3020.546
2022 02 19 09 45 00 1 3020.566
2022 02 19 09 15 00 1 3020.605
2022 02 19 09 00 00 1 3020.633
2022 02 19 08 45 00 1 3020.664
2022 02 19 08 15 00 1 3020.734
2022 02 19 08 00 00 1 3020.774
2022 02 19 07 45 00 1 3020.814
2022 02 19 07 15 00 1 3020.894
2022 02 19 07 00 00 1 3020.932
2022 02 19 06 45 00 1 3020.967
2022 02 19 06 15 00 1 3021.027
2022 02 19 06 00 00 1 3021.053
2022 02 19 05 45 00 1 3021.070
2022 02 19 05 15 00 1 3021.095
2022 02 19 05 00 00 1 3021.095
2022 02 19 04 45 00 1 3021.094
2022 02 19 04 15 00 1 3021.072
2022 02 19 04 00 00 1 3021.052
2022 02 19 03 45 00 1 3021.029
2022 02 19 03 15 00 1 3020.964
2022 02 19 03 00 00 1 3020.926
2022 02 19 02 45 00 1 3020.887
2022 02 19 02 15 00 1 3020.799
2022 02 19 02 00 00 1 3020.756
2022 02 19 01 45 00 1 3020.711
2022 02 19 01 15 00 1 3020.617
2022 02 19 01 00 00 1 3020.574
2022 02 19 00 45 00 1 3020.532
2022 02 19 00 15 00 1 3020.458
2022 02 19 00 00 00 1 3020.426
2022 02 18 23 45 00 1 3020.401
2022 02 18 23 15 00 1 3020.364
2022 02 18 23 00 00 1 3020.353
2022 02 18 22 45 00 1 3020.351
2022 02 18 22 15 00 1 3020.360
2022 02 18 22 00 00 1 3020.375
2022 02 18 21 45 00 1 3020.396
2022 02 18 21 15 00 1 3020.459
2022 02 18 21 00 00 1 3020.497
2022 02 18 20 45 00 1 3020.537
2022 02 18 20 15 00 1 3020.634
2022 02 18 20 00 00 1 3020.688
2022 02 18 19 45 00 1 3020.739
2022 02 18 19 15 00 1 3020.846
2022 02 18 19 00 00 1 3020.904
2022 02 18 18 45 00 1 3020.958
2022 02 18 18 15 00 1 3021.057
2022 02 18 18 00 00 1 3021.102
2022 02 18 17 45 00 1 3021.141
2022 02 18 17 15 00 1 3021.212
2022 02 18 17 00 00 1 3021.233
2022 02 18 16 45 00 1 3021.251
2022 02 18 16 15 00 1 3021.262
2022 02 18 16 00 00 1 3021.261
2022 02 18 15 45 00 1 3021.250
2022 02 18 15 15 00 1 3021.210
2022 02 18 15 00 00 1 3021.185
2022 02 18 14 45 00 1 3021.155
2022 02 18 14 15 00 1 3021.080
2022 02 18 14 00 00 1 3021.038
2022 02 18 13 45 00 1 3020.993
2022 02 18 13 15 00 1 3020.901
2022 02 18 13 00 00 1 3020.855
2022 02 18 12 45 00 1 3020.810
2022 02 18 12 15 00 1 3020.723
2022 02 18 12 00 00 1 3020.688
2022 02 18 11 45 00 1 3020.652
2022 02 18 11 30 00 1 3020.620
2022 02 18 11 15 00 1 3020.592
2022 02 18 11 00 00 1 3020.568
2022 02 18 10 45 00 1 3020.548
2022 02 18 10 30 00 1 3020.536
2022 02 18 10 15 00 1 3020.528
2022 02 18 10 00 00 1 3020.529
2022 02 18 09 45 00 1 3020.537
2022 02 18 09 30 00 1 3020.549
2022 02 18 09 15 00 1 3020.567
2022 02 18 09 00 00 1 3020.593
2022 02 18 08 45 00 1 3020.617
2022 02 18 08 30 00 1 3020.642
2022 02 18 08 15 00 1 3020.673
2022 02 18 08 00 00 1 3020.708
2022 02 18 07 45 00 1 3020.743
2022 02 18 07 30 00 1 3020.781
2022 02 18 07 15 00 1 3020.816
2022 02 18 07 00 00 1 3020.857
2022 02 18 06 45 00 1 3020.895
2022 02 18 06 30 00 1 3020.933
2022 02 18 06 15 00 1 3020.967
2022 02 18 06 00 00 1 3020.992
2022 02 18 05 45 00 1 3021.019
2022 02 18 05 15 00 1 3021.060
2022 02 18 05 00 00 1 3021.068
2022 02 18 04 45 00 1 3021.073
2022 02 18 04 15 00 1 3021.064
2022 02 18 04 00 00 1 3021.053
2022 02 18 03 45 00 1 3021.035
2022 02 18 03 15 00 1 3020.981
2022 02 18 03 00 00 1 3020.947
2022 02 18 02 45 00 1 3020.911
2022 02 18 02 15 00 1 3020.822
2022 02 18 02 00 00 1 3020.779
2022 02 18 01 45 00 1 3020.730
2022 02 18 01 15 00 1 3020.633
2022 02 18 01 00 00 1 3020.585
2022 02 18 00 45 00 1 3020.542
2022 02 18 00 15 00 1 3020.456
2022 02 18 00 00 00 1 3020.416
2022 02 17 23 45 00 1 3020.382
2022 02 17 23 30 00 1 3020.351
2022 02 17 23 15 00 1 3020.323
2022 02 17 23 00 00 1 3020.308
2022 02 17 22 45 00 1 3020.293
2022 02 17 22 30 00 1 3020.287
2022 02 17 22 15 00 1 3020.286
2022 02 17 22 00 00 1 3020.294
2022 02 17 21 45 00 1 3020.307
2022 02 17 21 30 00 1 3020.325
2022 02 17 21 15 00 1 3020.354
2022 02 17 21 00 00 1 3020.386
2022 02 17 20 45 00 1 3020.427
2022 02 17 20 30 00 1 3020.470
2022 02 17 20 15 00 1 3020.517
2022 02 17 20 00 00 1 3020.566
2022 02 17 19 45 00 1 3020.621
2022 02 17 19 30 00 1 3020.677
2022 02 17 19 15 00 1 3020.734
2022 02 17 19 00 00 1 3020.791
2022 02 17 18 45 00 1 3020.851
2022 02 17 18 30 00 1 3020.912
2022 02 17 18 15 00 1 3020.967
2022 02 17 18 00 00 1 3021.019
2022 02 17 17 45 00 1 3021.071
2022 02 17 17 30 00 1 3021.118
2022 02 17 17 15 00 1 3021.154
2022 02 17 17 00 00 1 3021.192
2022 02 17 16 45 00 1 3021.221
2022 02 17 16 30 00 1 3021.243
2022 02 17 16 15 00 1 3021.259
2022 02 17 16 00 00 1 3021.270
