#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 2608.054
2022 02 20 05 45 00 1 2608.109
2022 02 20 05 30 00 1 2608.172
2022 02 20 05 15 00 1 2608.235
2022 02 20 05 00 00 1 2608.296
2022 02 20 04 45 00 1 2608.355
2022 02 20 04 30 00 1 2608.409
2022 02 20 04 15 00 1 2608.459
2022 02 20 04 00 00 1 2608.507
2022 02 20 03 45 00 1 2608.545
2022 02 20 03 30 00 1 2608.579
2022 02 20 03 15 00 1 2608.608
2022 02 20 03 00 00 1 2608.630
2022 02 20 02 45 00 1 2608.651
2022 02 20 02 30 00 1 2608.663
2022 02 20 02 15 00 1 2608.661
2022 02 20 02 00 00 1 2608.655
2022 02 20 01 45 00 1 2608.643
2022 02 20 01 30 00 1 2608.626
2022 02 20 01 15 00 1 2608.605
2022 02 20 01 00 00 1 2608.569
2022 02 20 00 45 00 1 2608.529
2022 02 20 00 30 00 1 2608.477
2022 02 20 00 15 00 1 2608.421
2022 02 20 00 00 00 1 2608.364
2022 02 19 23 45 00 1 2608.297
2022 02 19 23 30 00 1 2608.235
2022 02 19 23 15 00 1 2608.175
2022 02 19 23 00 00 1 2608.117
2022 02 19 22 45 00 1 2608.040
2022 02 19 22 30 00 1 2607.978
2022 02 19 22 15 00 1 2607.919
2022 02 19 22 00 00 1 2607.867
2022 02 19 21 45 00 1 2607.818
2022 02 19 21 30 00 1 2607.776
2022 02 19 21 15 00 1 2607.740
2022 02 19 21 00 00 1 2607.706
2022 02 19 20 45 00 1 2607.683
2022 02 19 20 30 00 1 2607.663
2022 02 19 20 15 00 1 2607.655
2022 02 19 20 00 00 1 2607.652
2022 02 19 19 45 00 1 2607.656
2022 02 19 19 30 00 1 2607.666
2022 02 19 19 15 00 1 2607.683
2022 02 19 19 00 00 1 2607.709
2022 02 19 18 45 00 1 2607.743
2022 02 19 18 30 00 1 2607.783
2022 02 19 18 15 00 1 2607.829
2022 02 19 18 00 00 1 2607.884
2022 02 19 17 45 00 1 2607.939
2022 02 19 17 30 00 1 2608.002
2022 02 19 17 15 00 1 2608.070
2022 02 19 17 00 00 1 2608.140
2022 02 19 16 45 00 1 2608.212
2022 02 19 16 30 00 1 2608.284
2022 02 19 16 15 00 1 2608.352
2022 02 19 16 00 00 1 2608.414
2022 02 19 15 45 00 1 2608.468
2022 02 19 15 30 00 1 2608.521
2022 02 19 15 15 00 1 2608.570
2022 02 19 15 00 00 1 2608.608
2022 02 19 14 45 00 1 2608.641
2022 02 19 14 30 00 1 2608.668
2022 02 19 14 15 00 1 2608.693
2022 02 19 14 00 00 1 2608.709
2022 02 19 13 45 00 1 2608.716
2022 02 19 13 30 00 1 2608.716
2022 02 19 13 15 00 1 2608.712
2022 02 19 13 00 00 1 2608.689
2022 02 19 12 45 00 1 2608.664
2022 02 19 12 30 00 1 2608.627
2022 02 19 12 15 00 1 2608.580
2022 02 19 12 00 00 1 2608.530
2022 02 19 11 45 00 1 2608.473
2022 02 19 11 30 00 1 2608.413
2022 02 19 11 15 00 1 2608.352
2022 02 19 11 00 00 1 2608.285
2022 02 19 10 45 00 1 2608.221
2022 02 19 10 30 00 1 2608.155
2022 02 19 10 15 00 1 2608.088
2022 02 19 10 00 00 1 2608.026
2022 02 19 09 45 00 1 2607.967
2022 02 19 09 30 00 1 2607.912
2022 02 19 09 15 00 1 2607.862
2022 02 19 09 00 00 1 2607.822
2022 02 19 08 45 00 1 2607.785
2022 02 19 08 30 00 1 2607.751
2022 02 19 08 15 00 1 2607.732
2022 02 19 08 00 00 1 2607.716
2022 02 19 07 45 00 1 2607.711
2022 02 19 07 30 00 1 2607.713
2022 02 19 07 15 00 1 2607.722
2022 02 19 07 00 00 1 2607.735
2022 02 19 06 45 00 1 2607.756
2022 02 19 06 30 00 1 2607.785
2022 02 19 06 15 00 1 2607.819
2022 02 19 06 00 00 1 2607.862
2022 02 19 05 45 00 1 2607.912
2022 02 19 05 30 00 1 2607.962
