#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4205.307
2022 02 20 05 45 00 1 4205.351
2022 02 20 05 30 00 1 4205.391
2022 02 20 05 15 00 1 4205.420
2022 02 20 05 00 00 1 4205.443
2022 02 20 04 45 00 1 4205.455
2022 02 20 04 30 00 1 4205.459
2022 02 20 04 15 00 1 4205.454
2022 02 20 04 00 00 1 4205.437
2022 02 20 03 45 00 1 4205.414
2022 02 20 03 30 00 1 4205.384
2022 02 20 03 15 00 1 4205.345
2022 02 20 03 00 00 1 4205.293
2022 02 20 02 45 00 1 4205.241
2022 02 20 02 30 00 1 4205.184
2022 02 20 02 15 00 1 4205.120
2022 02 20 02 00 00 1 4205.054
2022 02 20 01 45 00 1 4204.985
2022 02 20 01 30 00 1 4204.917
2022 02 20 01 15 00 1 4204.852
2022 02 20 01 00 00 1 4204.782
2022 02 20 00 45 00 1 4204.720
2022 02 20 00 30 00 1 4204.656
2022 02 20 00 15 00 1 4204.597
2022 02 20 00 00 00 1 4204.545
2022 02 19 23 45 00 1 4204.494
2022 02 19 23 30 00 1 4204.449
2022 02 19 23 15 00 1 4204.412
2022 02 19 23 00 00 1 4204.385
2022 02 19 22 45 00 1 4204.361
2022 02 19 22 30 00 1 4204.348
2022 02 19 22 15 00 1 4204.344
2022 02 19 22 00 00 1 4204.348
2022 02 19 21 45 00 1 4204.364
2022 02 19 21 30 00 1 4204.385
2022 02 19 21 15 00 1 4204.411
2022 02 19 21 00 00 1 4204.442
2022 02 19 20 45 00 1 4204.484
2022 02 19 20 30 00 1 4204.530
2022 02 19 20 15 00 1 4204.576
2022 02 19 20 00 00 1 4204.630
2022 02 19 19 45 00 1 4204.685
2022 02 19 19 30 00 1 4204.742
2022 02 19 19 15 00 1 4204.801
2022 02 19 19 00 00 1 4204.857
2022 02 19 18 45 00 1 4204.914
2022 02 19 18 30 00 1 4204.967
2022 02 19 18 15 00 1 4205.013
2022 02 19 18 00 00 1 4205.056
2022 02 19 17 45 00 1 4205.097
2022 02 19 17 30 00 1 4205.130
2022 02 19 17 15 00 1 4205.161
2022 02 19 17 00 00 1 4205.184
2022 02 19 16 45 00 1 4205.202
2022 02 19 16 30 00 1 4205.210
2022 02 19 16 15 00 1 4205.212
2022 02 19 16 00 00 1 4205.206
2022 02 19 15 45 00 1 4205.192
2022 02 19 15 30 00 1 4205.166
2022 02 19 15 15 00 1 4205.135
2022 02 19 15 00 00 1 4205.095
2022 02 19 14 45 00 1 4205.048
2022 02 19 14 30 00 1 4204.997
2022 02 19 14 15 00 1 4204.940
2022 02 19 14 00 00 1 4204.883
2022 02 19 13 45 00 1 4204.821
2022 02 19 13 30 00 1 4204.760
2022 02 19 13 15 00 1 4204.698
2022 02 19 13 00 00 1 4204.637
2022 02 19 12 45 00 1 4204.578
2022 02 19 12 30 00 1 4204.521
2022 02 19 12 15 00 1 4204.466
2022 02 19 12 00 00 1 4204.415
2022 02 19 11 45 00 1 4204.374
2022 02 19 11 30 00 1 4204.337
2022 02 19 11 15 00 1 4204.309
2022 02 19 11 00 00 1 4204.288
2022 02 19 10 45 00 1 4204.270
2022 02 19 10 30 00 1 4204.264
2022 02 19 10 15 00 1 4204.267
2022 02 19 10 00 00 1 4204.281
2022 02 19 09 45 00 1 4204.302
2022 02 19 09 30 00 1 4204.330
2022 02 19 09 15 00 1 4204.368
2022 02 19 09 00 00 1 4204.414
2022 02 19 08 45 00 1 4204.468
2022 02 19 08 30 00 1 4204.529
2022 02 19 08 15 00 1 4204.591
2022 02 19 08 00 00 1 4204.660
2022 02 19 07 45 00 1 4204.732
2022 02 19 07 30 00 1 4204.807
2022 02 19 07 15 00 1 4204.881
2022 02 19 07 00 00 1 4204.955
2022 02 19 06 45 00 1 4205.031
2022 02 19 06 30 00 1 4205.103
2022 02 19 06 15 00 1 4205.171
2022 02 19 06 00 00 1 4205.235
2022 02 19 05 45 00 1 4205.298
2022 02 19 05 30 00 1 4205.357
2022 02 19 05 15 00 1 4205.404
2022 02 19 05 00 00 1 4205.449
2022 02 19 04 45 00 1 4205.481
2022 02 19 04 30 00 1 4205.508
2022 02 19 04 15 00 1 4205.521
2022 02 19 04 00 00 1 4205.525
2022 02 19 03 45 00 1 4205.519
2022 02 19 03 30 00 1 4205.505
2022 02 19 03 15 00 1 4205.482
2022 02 19 03 00 00 1 4205.455
2022 02 19 02 45 00 1 4205.419
2022 02 19 02 30 00 1 4205.372
2022 02 19 02 15 00 1 4205.318
2022 02 19 02 00 00 1 4205.259
2022 02 19 01 45 00 1 4205.195
2022 02 19 01 30 00 1 4205.127
2022 02 19 01 15 00 1 4205.058
2022 02 19 01 00 00 1 4204.983
2022 02 19 00 45 00 1 4204.910
2022 02 19 00 30 00 1 4204.839
2022 02 19 00 15 00 1 4204.768
2022 02 19 00 00 00 1 4204.698
2022 02 18 23 45 00 1 4204.634
2022 02 18 23 30 00 1 4204.575
2022 02 18 23 15 00 1 4204.518
2022 02 18 23 00 00 1 4204.466
2022 02 18 22 45 00 1 4204.424
2022 02 18 22 30 00 1 4204.389
2022 02 18 22 15 00 1 4204.362
2022 02 18 22 00 00 1 4204.343
2022 02 18 21 45 00 1 4204.330
2022 02 18 21 30 00 1 4204.331
2022 02 18 21 15 00 1 4204.339
2022 02 18 21 00 00 1 4204.353
2022 02 18 20 45 00 1 4204.378
2022 02 18 20 30 00 1 4204.407
2022 02 18 20 15 00 1 4204.442
2022 02 18 20 00 00 1 4204.485
2022 02 18 19 45 00 1 4204.532
2022 02 18 19 30 00 1 4204.586
2022 02 18 19 15 00 1 4204.641
2022 02 18 19 00 00 1 4204.695
2022 02 18 18 45 00 1 4204.751
2022 02 18 18 30 00 1 4204.807
2022 02 18 18 15 00 1 4204.862
2022 02 18 18 00 00 1 4204.915
2022 02 18 17 45 00 1 4204.963
2022 02 18 17 30 00 1 4205.010
2022 02 18 17 15 00 1 4205.049
2022 02 18 17 00 00 1 4205.088
2022 02 18 16 45 00 1 4205.118
2022 02 18 16 30 00 1 4205.144
2022 02 18 16 15 00 1 4205.158
2022 02 18 16 00 00 1 4205.167
2022 02 18 15 45 00 1 4205.169
2022 02 18 15 30 00 1 4205.167
2022 02 18 15 15 00 1 4205.153
2022 02 18 15 00 00 1 4205.129
