#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 2490.644
2022 02 20 05 45 00 1 2490.659
2022 02 20 05 30 00 1 2490.660
2022 02 20 05 15 00 1 2490.641
2022 02 20 05 00 00 1 2490.614
2022 02 20 04 45 00 1 2490.572
2022 02 20 04 30 00 1 2490.517
2022 02 20 04 15 00 1 2490.448
2022 02 20 04 00 00 1 2490.366
2022 02 20 03 45 00 1 2490.276
2022 02 20 03 30 00 1 2490.174
2022 02 20 03 15 00 1 2490.063
2022 02 20 03 00 00 1 2489.950
2022 02 20 02 45 00 1 2489.835
2022 02 20 02 30 00 1 2489.708
2022 02 20 02 15 00 1 2489.583
2022 02 20 02 00 00 1 2489.460
2022 02 20 01 45 00 1 2489.346
2022 02 20 01 30 00 1 2489.239
2022 02 20 01 15 00 1 2489.138
2022 02 20 01 00 00 1 2489.044
2022 02 20 00 45 00 1 2488.968
2022 02 20 00 30 00 1 2488.897
2022 02 20 00 15 00 1 2488.845
2022 02 20 00 00 00 1 2488.805
2022 02 19 23 45 00 1 2488.777
2022 02 19 23 30 00 1 2488.766
2022 02 19 23 15 00 1 2488.775
2022 02 19 23 00 00 1 2488.802
2022 02 19 22 45 00 1 2488.839
2022 02 19 22 30 00 1 2488.886
2022 02 19 22 15 00 1 2488.947
2022 02 19 22 00 00 1 2489.026
2022 02 19 21 45 00 1 2489.115
2022 02 19 21 30 00 1 2489.209
2022 02 19 21 15 00 1 2489.313
2022 02 19 21 00 00 1 2489.435
2022 02 19 20 45 00 1 2489.560
2022 02 19 20 30 00 1 2489.683
2022 02 19 20 15 00 1 2489.804
2022 02 19 20 00 00 1 2489.918
2022 02 19 19 45 00 1 2490.050
2022 02 19 19 30 00 1 2490.176
2022 02 19 19 15 00 1 2490.288
2022 02 19 19 00 00 1 2490.388
2022 02 19 18 45 00 1 2490.484
2022 02 19 18 30 00 1 2490.571
2022 02 19 18 15 00 1 2490.642
2022 02 19 18 00 00 1 2490.696
2022 02 19 17 45 00 1 2490.739
2022 02 19 17 30 00 1 2490.764
2022 02 19 17 15 00 1 2490.776
2022 02 19 17 00 00 1 2490.774
2022 02 19 16 45 00 1 2490.753
2022 02 19 16 30 00 1 2490.716
2022 02 19 16 15 00 1 2490.668
2022 02 19 16 00 00 1 2490.605
2022 02 19 15 45 00 1 2490.526
2022 02 19 15 30 00 1 2490.435
2022 02 19 15 15 00 1 2490.338
2022 02 19 15 00 00 1 2490.228
2022 02 19 14 45 00 1 2490.113
2022 02 19 14 30 00 1 2489.996
2022 02 19 14 15 00 1 2489.875
2022 02 19 14 00 00 1 2489.753
2022 02 19 13 45 00 1 2489.632
2022 02 19 13 30 00 1 2489.516
2022 02 19 13 15 00 1 2489.405
2022 02 19 12 59 00 2 2489.299
2022 02 19 12 58 00 2 2489.293
2022 02 19 12 57 00 2 2489.286
2022 02 19 12 56 00 2 2489.280
2022 02 19 12 55 00 2 2489.274
2022 02 19 12 54 00 2 2489.268
2022 02 19 12 53 00 2 2489.261
2022 02 19 12 52 00 2 2489.255
2022 02 19 12 51 00 2 2489.249
2022 02 19 12 50 00 2 2489.243
2022 02 19 12 49 00 2 2489.237
2022 02 19 12 48 00 2 2489.231
2022 02 19 12 47 00 2 2489.225
2022 02 19 12 46 00 2 2489.219
2022 02 19 12 45 00 2 2489.213
2022 02 19 12 44 00 2 2489.207
