#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4195.676
2022 02 20 05 45 00 1 4195.698
2022 02 20 05 30 00 1 4195.739
2022 02 20 05 15 00 1 4195.796
2022 02 20 05 00 00 1 4195.876
2022 02 20 04 45 00 1 4195.970
2022 02 20 04 30 00 1 4196.079
2022 02 20 04 15 00 1 4196.201
2022 02 20 04 00 00 1 4196.336
2022 02 20 03 45 00 1 4196.480
2022 02 20 03 30 00 1 4196.626
2022 02 20 03 15 00 1 4196.781
2022 02 20 03 00 00 1 4196.937
2022 02 20 02 45 00 1 4197.094
2022 02 20 02 30 00 1 4197.248
2022 02 20 02 15 00 1 4197.399
2022 02 20 02 00 00 1 4197.541
2022 02 20 01 45 00 1 4197.673
2022 02 20 01 30 00 1 4197.794
2022 02 20 01 15 00 1 4197.900
2022 02 20 01 00 00 1 4197.993
2022 02 20 00 45 00 1 4198.069
2022 02 20 00 30 00 1 4198.127
2022 02 20 00 15 00 1 4198.168
2022 02 20 00 00 00 1 4198.189
2022 02 19 23 45 00 1 4198.195
2022 02 19 23 30 00 1 4198.180
2022 02 19 23 15 00 1 4198.147
2022 02 19 23 00 00 1 4198.096
2022 02 19 22 45 00 1 4198.028
2022 02 19 22 30 00 1 4197.947
2022 02 19 22 15 00 1 4197.850
2022 02 19 22 00 00 1 4197.744
2022 02 19 21 45 00 1 4197.626
2022 02 19 21 30 00 1 4197.501
2022 02 19 21 15 00 1 4197.367
2022 02 19 21 00 00 1 4197.237
2022 02 19 20 45 00 1 4197.100
2022 02 19 20 30 00 1 4196.967
2022 02 19 20 15 00 1 4196.837
2022 02 19 20 00 00 1 4196.711
2022 02 19 19 45 00 1 4196.595
2022 02 19 19 30 00 1 4196.487
2022 02 19 19 15 00 1 4196.392
2022 02 19 19 00 00 1 4196.308
2022 02 19 18 45 00 1 4196.244
2022 02 19 18 30 00 1 4196.192
2022 02 19 18 15 00 1 4196.160
2022 02 19 18 00 00 1 4196.142
2022 02 19 17 45 00 1 4196.144
2022 02 19 17 30 00 1 4196.165
2022 02 19 17 15 00 1 4196.203
2022 02 19 17 00 00 1 4196.255
2022 02 19 16 45 00 1 4196.327
2022 02 19 16 30 00 1 4196.409
2022 02 19 16 15 00 1 4196.504
2022 02 19 16 00 00 1 4196.615
2022 02 19 15 45 00 1 4196.733
2022 02 19 15 30 00 1 4196.858
2022 02 19 15 15 00 1 4196.987
2022 02 19 15 00 00 1 4197.121
2022 02 19 14 45 00 1 4197.254
2022 02 19 14 30 00 1 4197.385
2022 02 19 14 15 00 1 4197.515
2022 02 19 14 00 00 1 4197.639
2022 02 19 13 45 00 1 4197.751
2022 02 19 13 30 00 1 4197.854
2022 02 19 13 15 00 1 4197.945
2022 02 19 13 00 00 1 4198.024
2022 02 19 12 45 00 1 4198.085
2022 02 19 12 30 00 1 4198.131
2022 02 19 12 15 00 1 4198.157
2022 02 19 12 00 00 1 4198.165
2022 02 19 11 45 00 1 4198.155
2022 02 19 11 30 00 1 4198.124
2022 02 19 11 15 00 1 4198.077
2022 02 19 11 00 00 1 4198.011
2022 02 19 10 45 00 1 4197.927
2022 02 19 10 30 00 1 4197.828
2022 02 19 10 15 00 1 4197.711
2022 02 19 10 00 00 1 4197.583
2022 02 19 09 45 00 1 4197.444
2022 02 19 09 30 00 1 4197.295
2022 02 19 09 15 00 1 4197.140
2022 02 19 09 00 00 1 4196.979
2022 02 19 08 45 00 1 4196.814
2022 02 19 08 30 00 1 4196.650
2022 02 19 08 15 00 1 4196.492
2022 02 19 08 00 00 1 4196.336
2022 02 19 07 45 00 1 4196.189
2022 02 19 07 30 00 1 4196.051
2022 02 19 07 15 00 1 4195.928
2022 02 19 07 00 00 1 4195.817
2022 02 19 06 45 00 1 4195.722
2022 02 19 06 30 00 1 4195.645
2022 02 19 06 15 00 1 4195.583
2022 02 19 06 00 00 1 4195.546
2022 02 19 05 45 00 1 4195.526
2022 02 19 05 30 00 1 4195.529
2022 02 19 05 15 00 1 4195.550
2022 02 19 05 00 00 1 4195.592
2022 02 19 04 45 00 1 4195.654
2022 02 19 04 30 00 1 4195.735
2022 02 19 04 15 00 1 4195.834
2022 02 19 04 00 00 1 4195.952
2022 02 19 03 45 00 1 4196.080
2022 02 19 03 30 00 1 4196.222
2022 02 19 03 15 00 1 4196.374
2022 02 19 03 00 00 1 4196.532
2022 02 19 02 45 00 1 4196.699
2022 02 19 02 30 00 1 4196.869
2022 02 19 02 15 00 1 4197.041
2022 02 19 02 00 00 1 4197.213
2022 02 19 01 45 00 1 4197.375
2022 02 19 01 30 00 1 4197.532
2022 02 19 01 15 00 1 4197.679
2022 02 19 01 00 00 1 4197.817
2022 02 19 00 45 00 1 4197.940
2022 02 19 00 30 00 1 4198.048
2022 02 19 00 15 00 1 4198.139
2022 02 19 00 00 00 1 4198.214
2022 02 18 23 45 00 1 4198.271
2022 02 18 23 30 00 1 4198.305
2022 02 18 23 15 00 1 4198.324
2022 02 18 23 00 00 1 4198.323
2022 02 18 22 45 00 1 4198.302
2022 02 18 22 30 00 1 4198.262
2022 02 18 22 15 00 1 4198.206
2022 02 18 22 00 00 1 4198.134
2022 02 18 21 45 00 1 4198.046
2022 02 18 21 30 00 1 4197.947
2022 02 18 21 15 00 1 4197.834
2022 02 18 21 00 00 1 4197.711
2022 02 18 20 45 00 1 4197.582
2022 02 18 20 30 00 1 4197.449
2022 02 18 20 15 00 1 4197.315
2022 02 18 20 00 00 1 4197.178
2022 02 18 19 45 00 1 4197.044
2022 02 18 19 30 00 1 4196.915
2022 02 18 19 15 00 1 4196.793
2022 02 18 19 00 00 1 4196.679
2022 02 18 18 45 00 1 4196.579
2022 02 18 18 30 00 1 4196.490
2022 02 18 18 15 00 1 4196.415
2022 02 18 18 00 00 1 4196.352
2022 02 18 17 45 00 1 4196.309
2022 02 18 17 30 00 1 4196.281
2022 02 18 17 15 00 1 4196.271
2022 02 18 17 00 00 1 4196.279
2022 02 18 16 45 00 1 4196.301
2022 02 18 16 30 00 1 4196.345
2022 02 18 16 15 00 1 4196.400
2022 02 18 16 00 00 1 4196.472
2022 02 18 15 45 00 1 4196.559
2022 02 18 15 30 00 1 4196.656
2022 02 18 15 15 00 1 4196.760
2022 02 18 15 00 00 1 4196.874
2022 02 18 14 45 00 1 4196.992
2022 02 18 14 30 00 1 4197.113
2022 02 18 14 15 00 1 4197.236
2022 02 18 14 00 00 1 4197.360
2022 02 18 13 45 00 1 4197.476
2022 02 18 13 30 00 1 4197.593
2022 02 18 13 15 00 1 4197.701
2022 02 18 13 00 00 1 4197.797
2022 02 18 12 45 00 1 4197.885
2022 02 18 12 30 00 1 4197.954
2022 02 18 12 15 00 1 4198.014
2022 02 18 12 00 00 1 4198.055
2022 02 18 11 45 00 1 4198.078
2022 02 18 11 30 00 1 4198.084
2022 02 18 11 15 00 1 4198.072
2022 02 18 11 00 00 1 4198.043
2022 02 18 10 45 00 1 4197.995
2022 02 18 10 30 00 1 4197.929
2022 02 18 10 15 00 1 4197.843
2022 02 18 10 00 00 1 4197.742
2022 02 18 09 45 00 1 4197.627
2022 02 18 09 30 00 1 4197.500
2022 02 18 09 15 00 1 4197.361
2022 02 18 09 00 00 1 4197.212
2022 02 18 08 45 00 1 4197.056
2022 02 18 08 30 00 1 4196.892
2022 02 18 08 15 00 1 4196.730
2022 02 18 08 00 00 1 4196.570
2022 02 18 07 45 00 1 4196.409
2022 02 18 07 30 00 1 4196.253
2022 02 18 07 15 00 1 4196.107
2022 02 18 07 00 00 1 4195.970
2022 02 18 06 45 00 1 4195.844
2022 02 18 06 30 00 1 4195.737
2022 02 18 06 15 00 1 4195.640
2022 02 18 06 00 00 1 4195.561
2022 02 18 05 45 00 1 4195.502
2022 02 18 05 30 00 1 4195.463
2022 02 18 05 15 00 1 4195.444
2022 02 18 05 00 00 1 4195.442
2022 02 18 04 45 00 1 4195.465
2022 02 18 04 30 00 1 4195.509
2022 02 18 04 15 00 1 4195.572
2022 02 18 04 00 00 1 4195.653
2022 02 18 03 45 00 1 4195.754
2022 02 18 03 30 00 1 4195.869
2022 02 18 03 15 00 1 4195.999
2022 02 18 03 00 00 1 4196.144
2022 02 18 02 45 00 1 4196.300
2022 02 18 02 30 00 1 4196.462
2022 02 18 02 15 00 1 4196.634
2022 02 18 02 00 00 1 4196.808
2022 02 18 01 45 00 1 4196.982
2022 02 18 01 30 00 1 4197.158
2022 02 18 01 15 00 1 4197.330
2022 02 18 01 00 00 1 4197.492
2022 02 18 00 45 00 1 4197.649
2022 02 18 00 30 00 1 4197.794
2022 02 18 00 15 00 1 4197.927
2022 02 18 00 00 00 1 4198.044
2022 02 17 23 45 00 1 4198.146
2022 02 17 23 30 00 1 4198.234
2022 02 17 23 15 00 1 4198.296
2022 02 17 23 00 00 1 4198.346
2022 02 17 22 45 00 1 4198.375
2022 02 17 22 30 00 1 4198.384
2022 02 17 22 15 00 1 4198.371
2022 02 17 22 00 00 1 4198.343
2022 02 17 21 45 00 1 4198.296
2022 02 17 21 30 00 1 4198.236
2022 02 17 21 15 00 1 4198.162
2022 02 17 21 00 00 1 4198.069
2022 02 17 20 45 00 1 4197.969
2022 02 17 20 30 00 1 4197.854
2022 02 17 20 15 00 1 4197.736
2022 02 17 20 00 00 1 4197.610
2022 02 17 19 45 00 1 4197.485
2022 02 17 19 30 00 1 4197.350
2022 02 17 19 15 00 1 4197.217
