#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4055.634
2022 02 20 05 45 00 1 4055.685
2022 02 20 05 30 00 1 4055.732
2022 02 20 05 15 00 1 4055.771
2022 02 20 05 00 00 1 4055.805
2022 02 20 04 45 00 1 4055.831
2022 02 20 04 30 00 1 4055.850
2022 02 20 04 15 00 1 4055.866
2022 02 20 04 00 00 1 4055.870
2022 02 20 03 45 00 1 4055.866
2022 02 20 03 30 00 1 4055.856
2022 02 20 03 15 00 1 4055.837
2022 02 20 03 00 00 1 4055.812
2022 02 20 02 45 00 1 4055.782
2022 02 20 02 30 00 1 4055.740
2022 02 20 02 15 00 1 4055.698
2022 02 20 02 00 00 1 4055.648
2022 02 20 01 45 00 1 4055.595
2022 02 20 01 30 00 1 4055.541
2022 02 20 01 15 00 1 4055.482
2022 02 20 01 00 00 1 4055.423
2022 02 20 00 45 00 1 4055.366
2022 02 20 00 30 00 1 4055.308
2022 02 20 00 15 00 1 4055.248
2022 02 20 00 00 00 1 4055.192
2022 02 19 23 45 00 1 4055.139
2022 02 19 23 30 00 1 4055.088
2022 02 19 23 15 00 1 4055.040
2022 02 19 23 00 00 1 4054.999
2022 02 19 22 45 00 1 4054.967
2022 02 19 22 30 00 1 4054.938
2022 02 19 22 15 00 1 4054.915
2022 02 19 22 00 00 1 4054.902
2022 02 19 21 45 00 1 4054.895
2022 02 19 21 30 00 1 4054.894
2022 02 19 21 15 00 1 4054.902
2022 02 19 21 00 00 1 4054.916
2022 02 19 20 45 00 1 4054.936
2022 02 19 20 30 00 1 4054.962
2022 02 19 20 15 00 1 4054.995
2022 02 19 19 00 00 1 4055.214
2022 02 19 18 45 00 1 4055.265
2022 02 19 18 30 00 1 4055.311
2022 02 19 18 15 00 1 4055.360
2022 02 19 18 00 00 1 4055.407
2022 02 19 17 45 00 1 4055.450
2022 02 19 17 30 00 1 4055.490
2022 02 19 17 15 00 1 4055.526
2022 02 19 17 00 00 1 4055.557
2022 02 19 16 45 00 1 4055.584
2022 02 19 16 30 00 1 4055.604
2022 02 19 16 15 00 1 4055.622
2022 02 19 16 00 00 1 4055.630
2022 02 19 15 45 00 1 4055.632
2022 02 19 15 30 00 1 4055.623
2022 02 19 15 15 00 1 4055.612
2022 02 19 15 00 00 1 4055.592
2022 02 19 14 45 00 1 4055.564
2022 02 19 14 30 00 1 4055.532
2022 02 19 14 15 00 1 4055.496
2022 02 19 14 00 00 1 4055.455
2022 02 19 13 45 00 1 4055.405
2022 02 19 13 30 00 1 4055.358
2022 02 19 13 15 00 1 4055.308
2022 02 19 13 00 00 1 4055.253
2022 02 19 12 45 00 1 4055.195
2022 02 19 12 30 00 1 4055.139
2022 02 19 12 15 00 1 4055.089
2022 02 19 12 00 00 1 4055.039
2022 02 19 11 45 00 1 4054.991
2022 02 19 11 30 00 1 4054.947
2022 02 19 11 15 00 1 4054.908
2022 02 19 11 00 00 1 4054.877
2022 02 19 10 45 00 1 4054.853
2022 02 19 10 30 00 1 4054.832
2022 02 19 10 15 00 1 4054.820
2022 02 19 10 00 00 1 4054.817
2022 02 19 09 45 00 1 4054.818
2022 02 19 09 30 00 1 4054.828
2022 02 19 09 15 00 1 4054.846
2022 02 19 09 00 00 1 4054.872
2022 02 19 08 45 00 1 4054.904
2022 02 19 08 30 00 1 4054.943
2022 02 19 08 15 00 1 4054.987
2022 02 19 08 00 00 1 4055.037
2022 02 19 07 45 00 1 4055.091
2022 02 19 07 30 00 1 4055.150
2022 02 19 07 15 00 1 4055.213
2022 02 19 07 00 00 1 4055.281
2022 02 19 06 45 00 1 4055.347
2022 02 19 06 30 00 1 4055.414
2022 02 19 06 15 00 1 4055.481
2022 02 19 06 00 00 1 4055.547
2022 02 19 05 45 00 1 4055.608
2022 02 19 05 30 00 1 4055.666
2022 02 19 05 15 00 1 4055.718
2022 02 19 05 00 00 1 4055.767
2022 02 19 04 45 00 1 4055.813
