#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 4485.428
2022 02 20 05 45 00 1 4485.474
2022 02 20 05 30 00 1 4485.531
2022 02 20 05 15 00 1 4485.600
2022 02 20 05 00 00 1 4485.682
2022 02 20 04 45 00 1 4485.771
2022 02 20 04 30 00 1 4485.871
2022 02 20 04 15 00 1 4485.977
2022 02 20 04 00 00 1 4486.086
2022 02 20 03 45 00 1 4486.203
2022 02 20 03 30 00 1 4486.318
2022 02 20 03 15 00 1 4486.434
2022 02 20 03 00 00 1 4486.548
2022 02 20 02 45 00 1 4486.658
2022 02 20 02 30 00 1 4486.761
2022 02 20 02 15 00 1 4486.860
2022 02 20 02 00 00 1 4486.947
2022 02 20 01 45 00 1 4487.029
2022 02 20 01 30 00 1 4487.097
2022 02 20 01 15 00 1 4487.153
2022 02 20 01 00 00 1 4487.196
2022 02 20 00 45 00 1 4487.229
2022 02 20 00 30 00 1 4487.248
2022 02 20 00 15 00 1 4487.250
2022 02 20 00 00 00 1 4487.240
2022 02 19 23 45 00 1 4487.218
2022 02 19 23 30 00 1 4487.183
2022 02 19 23 15 00 1 4487.133
2022 02 19 23 00 00 1 4487.077
2022 02 19 22 45 00 1 4487.008
2022 02 19 22 30 00 1 4486.930
2022 02 19 22 15 00 1 4486.844
2022 02 19 22 00 00 1 4486.759
2022 02 19 21 45 00 1 4486.665
2022 02 19 21 30 00 1 4486.565
2022 02 19 21 15 00 1 4486.466
2022 02 19 21 00 00 1 4486.370
2022 02 19 20 45 00 1 4486.274
2022 02 19 20 30 00 1 4486.186
2022 02 19 20 15 00 1 4486.105
2022 02 19 20 00 00 1 4486.029
2022 02 19 19 45 00 1 4485.962
2022 02 19 19 30 00 1 4485.904
2022 02 19 19 15 00 1 4485.857
2022 02 19 19 00 00 1 4485.822
2022 02 19 18 45 00 1 4485.798
2022 02 19 18 30 00 1 4485.787
2022 02 19 18 15 00 1 4485.788
2022 02 19 18 00 00 1 4485.804
2022 02 19 17 45 00 1 4485.833
2022 02 19 17 30 00 1 4485.872
2022 02 19 17 15 00 1 4485.923
2022 02 19 17 00 00 1 4485.982
2022 02 19 16 45 00 1 4486.054
2022 02 19 16 30 00 1 4486.132
2022 02 19 16 15 00 1 4486.218
2022 02 19 16 00 00 1 4486.310
2022 02 19 15 45 00 1 4486.401
2022 02 19 15 30 00 1 4486.497
2022 02 19 15 15 00 1 4486.590
2022 02 19 15 00 00 1 4486.683
2022 02 19 14 45 00 1 4486.774
2022 02 19 14 30 00 1 4486.861
2022 02 19 14 15 00 1 4486.939
2022 02 19 14 00 00 1 4487.011
2022 02 19 13 45 00 1 4487.074
2022 02 19 13 30 00 1 4487.127
2022 02 19 13 15 00 1 4487.166
2022 02 19 13 00 00 1 4487.194
2022 02 19 12 45 00 1 4487.209
2022 02 19 12 30 00 1 4487.212
2022 02 19 12 15 00 1 4487.199
2022 02 19 12 00 00 1 4487.168
2022 02 19 11 45 00 1 4487.126
2022 02 19 11 30 00 1 4487.072
2022 02 19 11 15 00 1 4487.003
2022 02 19 11 00 00 1 4486.923
2022 02 19 10 45 00 1 4486.833
2022 02 19 10 30 00 1 4486.737
2022 02 19 10 15 00 1 4486.631
2022 02 19 10 00 00 1 4486.521
2022 02 19 09 45 00 1 4486.401
2022 02 19 09 30 00 1 4486.283
2022 02 19 09 15 00 1 4486.161
2022 02 19 09 00 00 1 4486.041
2022 02 19 08 45 00 1 4485.924
2022 02 19 08 30 00 1 4485.810
2022 02 19 08 15 00 1 4485.700
2022 02 19 08 00 00 1 4485.599
2022 02 19 07 45 00 1 4485.507
2022 02 19 07 30 00 1 4485.427
2022 02 19 07 15 00 1 4485.359
2022 02 19 07 00 00 1 4485.305
2022 02 19 06 45 00 1 4485.265
2022 02 19 06 30 00 1 4485.240
2022 02 19 06 15 00 1 4485.228
2022 02 19 06 00 00 1 4485.235
2022 02 19 05 45 00 1 4485.256
2022 02 19 05 30 00 1 4485.288
2022 02 19 05 15 00 1 4485.338
2022 02 19 05 00 00 1 4485.402
2022 02 19 04 45 00 1 4485.478
2022 02 19 04 30 00 1 4485.563
2022 02 19 04 15 00 1 4485.660
2022 02 19 04 00 00 1 4485.771
2022 02 19 03 45 00 1 4485.885
2022 02 19 03 30 00 1 4486.008
2022 02 19 03 15 00 1 4486.134
2022 02 19 03 00 00 1 4486.265
2022 02 19 02 45 00 1 4486.391
2022 02 19 02 30 00 1 4486.516
2022 02 19 02 15 00 1 4486.642
2022 02 19 02 00 00 1 4486.759
2022 02 19 01 45 00 1 4486.871
2022 02 19 01 30 00 1 4486.976
2022 02 19 01 15 00 1 4487.069
2022 02 19 01 00 00 1 4487.149
2022 02 19 00 45 00 1 4487.222
2022 02 19 00 30 00 1 4487.279
2022 02 19 00 15 00 1 4487.324
2022 02 19 00 00 00 1 4487.355
2022 02 18 23 45 00 1 4487.371
2022 02 18 23 30 00 1 4487.370
