#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 08 00 00 1 4665.240
2022 02 20 07 45 00 1 4665.147
2022 02 20 07 30 00 1 4665.065
2022 02 20 07 15 00 1 4664.996
2022 02 20 07 00 00 1 4664.944
2022 02 20 06 45 00 1 4664.905
2022 02 20 06 30 00 1 4664.884
2022 02 20 06 15 00 1 4664.883
2022 02 20 06 00 00 1 4664.898
2022 02 20 05 45 00 1 4664.929
2022 02 20 05 30 00 1 4664.979
2022 02 20 05 15 00 1 4665.042
2022 02 20 05 00 00 1 4665.122
2022 02 20 04 45 00 1 4665.213
2022 02 20 04 30 00 1 4665.318
2022 02 20 04 15 00 1 4665.433
2022 02 20 04 00 00 1 4665.556
2022 02 20 03 45 00 1 4665.685
2022 02 20 03 30 00 1 4665.819
2022 02 20 03 15 00 1 4665.954
2022 02 20 03 00 00 1 4666.087
2022 02 20 02 45 00 1 4666.222
2022 02 20 02 30 00 1 4666.352
2022 02 20 02 15 00 1 4666.478
2022 02 20 02 00 00 1 4666.595
2022 02 20 01 45 00 1 4666.703
2022 02 20 01 30 00 1 4666.796
2022 02 20 01 15 00 1 4666.881
2022 02 20 01 00 00 1 4666.951
2022 02 20 00 45 00 1 4667.007
2022 02 20 00 30 00 1 4667.045
2022 02 20 00 15 00 1 4667.070
2022 02 20 00 00 00 1 4667.077
2022 02 19 23 45 00 1 4667.067
2022 02 19 23 30 00 1 4667.043
2022 02 19 23 15 00 1 4667.004
2022 02 19 23 00 00 1 4666.948
2022 02 19 22 45 00 1 4666.882
2022 02 19 22 30 00 1 4666.800
2022 02 19 22 15 00 1 4666.711
2022 02 19 22 00 00 1 4666.612
2022 02 19 21 45 00 1 4666.506
2022 02 19 21 30 00 1 4666.391
2022 02 19 21 15 00 1 4666.278
2022 02 19 21 00 00 1 4666.161
2022 02 19 20 45 00 1 4666.047
2022 02 19 20 30 00 1 4665.934
2022 02 19 20 15 00 1 4665.827
2022 02 19 20 00 00 1 4665.727
2022 02 19 19 45 00 1 4665.631
2022 02 19 19 30 00 1 4665.547
2022 02 19 19 15 00 1 4665.472
2022 02 19 19 00 00 1 4665.413
2022 02 19 18 45 00 1 4665.366
2022 02 19 18 30 00 1 4665.333
2022 02 19 18 15 00 1 4665.317
2022 02 19 18 00 00 1 4665.317
2022 02 19 17 45 00 1 4665.331
2022 02 19 17 30 00 1 4665.360
2022 02 19 17 15 00 1 4665.406
2022 02 19 17 00 00 1 4665.463
2022 02 19 16 45 00 1 4665.533
2022 02 19 16 30 00 1 4665.613
2022 02 19 16 15 00 1 4665.702
2022 02 19 16 00 00 1 4665.804
2022 02 19 15 45 00 1 4665.909
2022 02 19 15 30 00 1 4666.022
2022 02 19 15 15 00 1 4666.134
2022 02 19 15 00 00 1 4666.249
2022 02 19 14 45 00 1 4666.362
2022 02 19 14 30 00 1 4666.471
2022 02 19 14 15 00 1 4666.580
2022 02 19 14 00 00 1 4666.680
2022 02 19 13 45 00 1 4666.768
2022 02 19 13 30 00 1 4666.847
2022 02 19 13 15 00 1 4666.914
2022 02 19 13 00 00 1 4666.969
2022 02 19 12 45 00 1 4667.009
2022 02 19 12 30 00 1 4667.033
2022 02 19 12 15 00 1 4667.043
2022 02 19 12 00 00 1 4667.035
2022 02 19 11 45 00 1 4667.007
2022 02 19 11 30 00 1 4666.964
2022 02 19 11 15 00 1 4666.904
2022 02 19 11 00 00 1 4666.833
2022 02 19 10 45 00 1 4666.746
2022 02 19 10 30 00 1 4666.647
2022 02 19 10 15 00 1 4666.537
2022 02 19 10 00 00 1 4666.415
2022 02 19 09 45 00 1 4666.288
2022 02 19 09 30 00 1 4666.153
2022 02 19 09 15 00 1 4666.015
2022 02 19 09 00 00 1 4665.873
2022 02 19 08 45 00 1 4665.732
2022 02 19 08 30 00 1 4665.594
2022 02 19 08 15 00 1 4665.456
2022 02 19 08 00 00 1 4665.327
2022 02 19 07 45 00 1 4665.205
2022 02 19 07 30 00 1 4665.096
2022 02 19 07 15 00 1 4664.998
2022 02 19 07 00 00 1 4664.914
2022 02 19 06 45 00 1 4664.845
2022 02 19 06 30 00 1 4664.788
2022 02 19 06 15 00 1 4664.753
2022 02 19 06 00 00 1 4664.732
2022 02 19 05 45 00 1 4664.733
2022 02 19 05 30 00 1 4664.751
2022 02 19 05 15 00 1 4664.783
2022 02 19 05 00 00 1 4664.835
2022 02 19 04 45 00 1 4664.903
2022 02 19 04 30 00 1 4664.988
2022 02 19 04 15 00 1 4665.088
2022 02 19 04 00 00 1 4665.199
2022 02 19 03 45 00 1 4665.323
2022 02 19 03 30 00 1 4665.454
2022 02 19 03 15 00 1 4665.593
2022 02 19 03 00 00 1 4665.736
2022 02 19 02 45 00 1 4665.885
2022 02 19 02 30 00 1 4666.034
2022 02 19 02 15 00 1 4666.183
2022 02 19 02 00 00 1 4666.328
2022 02 19 01 45 00 1 4666.468
2022 02 19 01 30 00 1 4666.599
2022 02 19 01 15 00 1 4666.719
2022 02 19 01 00 00 1 4666.830
2022 02 19 00 45 00 1 4666.929
2022 02 19 00 30 00 1 4667.013
2022 02 19 00 15 00 1 4667.083
2022 02 19 00 00 00 1 4667.136
2022 02 18 23 45 00 1 4667.174
2022 02 18 23 30 00 1 4667.194
2022 02 18 23 15 00 1 4667.194
